Aripioare picante KFC,0,1,1,0,0,320,20.3,21.8,10.7
Bagheta alba sandwich cu salam vienez Pincess,0,1,1,0,0,302.4,11.7,16.7,26.5
Big Mac McDonalds,0,1,1,0,0,252,10.4,12.7,18.8
Bruschette Pizza Hut,0,1,1,0,0,300,8,12,40
Bucatele de pui cu sos Frosta,0,1,1,0,0,220,10.8,18.5,11.5
Burger de peste Tiko,0,1,1,0,0,187,6.7,10.3,17
Caffe Latte McDonalds,0,1,1,0,0,23.5,1.5,1,2
Cartofi gratinati congelati Delhaize,0,1,1,0,0,116,3.9,5.8,12.1
Cartofi prajiti,0,1,1,0,0,319,4,17,38
Cartofi prajiti KFC,0,1,1,0,0,311,3.6,15.6,39.2
Cartofi prajiti McDonalds,0,1,1,0,0,323,4.2,15.5,40.8
Cartofi taranesti KFC,0,1,1,0,0,197,2.9,8.6,27
Cartofi wedges K-Classic Kaufland,0,1,1,0,0,147,2.5,5,22
Cartofi wedges McDonalds,0,1,1,0,0,355,6,18,43
Cheeseburger McDonalds,0,1,1,0,0,263,13,10.5,29
Chicken McNuggets McDonalds,0,1,1,0,0,297,15.6,18.8,17
Chiftele preparate Selgros,0,1,1,0,0,259.3,16.2,16.7,9.3
Chili con carne Delhaize,0,1,1,0,0,110,7.3,2.1,15.6
Coasta pui reteta originala KFC,0,1,1,0,0,230.2,25.3,11.8,5.9
Conserva chili con carne Rancho,0,1,1,0,0,161,10,6.9,14.8
Copan pui reteta originala KFC,0,1,1,0,0,237.5,17.2,13.1,12.5
Cordon bleu Baroni Lidl,0,1,1,0,0,238,9.2,14,18.8
Crispy Strips KFC,0,1,1,0,0,328,14.2,16.4,9.6
Crochete vegetale (falafel) Al Wadi,0,1,1,0,0,411,14,22,40
Croissant simplu Euro Shopper,0,1,1,0,0,385,6,24,37
Cubulete din piept de pui Sav'or,0,1,1,0,0,92,20,2,3
Double cheeseburger McDonalds,0,1,1,0,0,266,15.2,14,20.6
Dublu McPuisor McDonalds,0,1,1,0,0,285,12.7,12.1,24.2
Enchiladas de pui cu sos de rosii si casval Maheso,0,1,1,0,0,157,9.7,6.8,14.2
Fasole barbecue KFC,0,1,1,0,0,79.2,5,0.7,19
Filet-o-fish McDonalds,0,1,1,0,0,267.6,10.5,12.7,26.8
Foietaj baton cu branza dulce Fornetti XXL,0,1,1,0,0,340.2,7.4,16.5,40.5
Foietaj branza si cascaval Fornetti,0,1,1,0,0,357,9.5,17.2,38.5
Foietaj cocos si crema de ciocolata Fornetti,0,1,1,0,0,266,7.9,9.1,36.3
Foietaj cu branza dulce Fornetti,0,1,1,0,0,287,8.2,11.8,34.9
Foietaj cu cascaval Fornetti,0,1,1,0,0,357,9.5,17.2,38.5
Foietaj cu ciocolata Fornetti,0,1,1,0,0,248,7.9,6.3,38.2
Foietaj cu crema de vanilie Fornetti,0,1,1,0,0,456.9,5.8,28.8,45.9
Foietaj cu fructe de padure Fornetti,0,1,1,0,0,392,8.1,18.3,46.2
Foietaj cu gem de caise Fornetti,0,1,1,0,0,258,7.8,8.1,36.8
FOietaj cu gem de visine Fornetti,0,1,1,0,0,258,7.9,8,37.1
Foietaj cu mac Fornetti,0,1,1,0,0,258,7.7,6.2,41.1
Foietaj cu mere Fornetti,0,1,1,0,0,242,7.5,6,38
Foietaj cu nuca Fornetti,0,1,1,0,0,264,8.1,6.8,40.8
Foietaj cu pui si ciuperci Fornetti XXL,0,1,1,0,0,324,11.3,13.2,37.8
Foietaj cu sunca si ciuperci Fornetti Pontino,0,1,1,0,0,296,12.8,10.7,35.2
Foietaj cu telemea Fornetti,0,1,1,0,0,242,8.3,5.7,37.8
Foietaj fagure visine si budinca Fornetti XXL,0,1,1,0,0,324.8,5.9,14.5,42.6
Foietaj fagure visine si budinca Fornetti XXL,0,1,1,0,0,324.8,5.9,14.5,42.6
Foietaj melc cu caramel Fornetti,0,1,1,0,0,395,8.4,18.1,46.9
Foietaj melc cu cascaval Fornetti XXL,0,1,1,0,0,388.1,9.3,22.4,37.4
Foietaj melc cu nuca Fornetti,0,1,1,0,0,389,11.1,27,35.4
Foietaj pateu cu ciuperci Fornetti,0,1,1,0,0,337.4,8.5,22,28.9
Foietaj pernita cu gust de ciocolata Fornetti XXL,0,1,1,0,0,377.4,7.4,18.1,45.3
Foietaj strudel cu mere Fornetti XXL,0,1,1,0,0,352,7.9,19.5,33.9
Foietaj trigon cu caise Fornetti XXL,0,1,1,0,0,316,8.3,10.6,44.9
Foietaj twist cu afine Fornetti XXL,0,1,1,0,0,323,8.3,11.6,44.2
Foietaj Twist cu crema de branza si bacon Fornetti XXL,0,1,1,0,0,373,12.4,18.5,36.8
Friptura de pui Sav'or,0,1,1,0,0,113,20,2,5
Fructe si nuci Nut Snack Farmer's Snack,0,1,1,0,0,490,14.9,34.2,30.6
Hamburger McDonalds,0,1,1,0,0,255,13,9,30
Inele de ceapa pane Burger King,0,1,1,0,0,336.4,4.8,16.9,41.1
Inghetata cu caramel McDonalds,0,1,1,0,0,295,5,7,53
Lasagna Bolognese Mega Image,0,1,1,0,0,135,8,6,11.6
Lasagna vegetala  Alberto,0,1,1,0,0,164,4,10,15
Lasagne Bolognese Trattoria Alfredo Lidl,0,1,1,0,0,172,9,9,13
McChicken McDonalds,0,1,1,0,0,252,0.1,11,28
McPuisor McDonalds,0,1,1,0,0,185.3,7,7,23.7
Mini fileuri KFC,0,1,1,0,0,298.3,19,17.7,15.5
Mini pizza bacon Fornetti Pontino,0,1,1,0,0,298,13.1,11.2,34.1
Mini pizza picant Pontino Fornetti,0,1,1,0,0,280,12.6,9.2,34.8
Mini pizza sunca si ciuperci Fornetti Pontino,0,1,1,0,0,296,12.8,10.7,35.2
Nuggets de pui Antonio y Ricardo,0,1,1,0,0,219,11.8,10.3,19.8
Nuggets de pui Edenia,0,1,1,0,0,240,20.3,9.5,18.3
Nuggets pui Frosta,0,1,1,0,0,220,10.8,11.5,18.5
Nuggets pui traditional Sadia,0,1,1,0,0,251,12.8,16.4,13
Nuggets Vitasia,0,1,1,0,0,179,8,8,18.6
Orez cu legume KFC,0,1,1,0,0,150,4,1,32
Paste Alla Bolognese Pizza Hut,0,1,1,0,0,77,2.2,1.3,14.1
Pernita cu cascaval Fornetti XXL,0,1,1,0,0,356.3,7.4,19.4,38.1
Pernita cu ficatei Fornetti XXL,0,1,1,0,0,357.2,9.3,20.6,33.7
Piept curcan umplut cu cascaval congelat Saga,0,1,1,0,0,259,10,22,13
Piept pui reteta originala KFC,0,1,1,0,0,237.7,22.6,12.4,9
Piure de cartofi KFC,0,1,1,0,0,110,2,4,17
Pizza capriciosa Ristorante Dr. Oetker,0,1,1,0,0,225,8,8.5,29.3
Pizza congelata bagheta Bistro Dr. Oetker,0,1,1,0,0,231,6.1,10.5,27.9
Pizza congelata bagheta Diavolo Bistro Dr. Oetker,0,1,1,0,0,234,7.1,10.4,28
Pizza congelata prosciutto Bon Giorno Dr. Oetker,0,1,1,0,0,234,10.1,10.9,23.8
Pizza cu 4 tipuri branza Real,0,1,1,0,0,225,10.1,10,21.1
Pizza cu salam congelata Popolare Vici,0,1,1,0,0,276,11,9.6,36.5
Pizza cu salam Real,0,1,1,0,0,219,8.4,9.7,23.1
Pizza cu ton Dr.Oetker,0,1,1,0,0,218,9.2,7.7,27.9
Pizza Guseppe mexicana Dr. Oetcker,0,1,1,0,0,223,8.9,5.9,32.3
Pizza Peperoni Pizza Hut,0,1,1,0,0,257,12.1,11.4,25
Pizza picanta Tesco,0,1,1,0,0,250,11.6,9.6,28.3
Pizza prosciutto Dr. Oetker,0,1,1,0,0,222,9.8,8.6,26.2
Pizza prosciutto Dr.Oetcker,0,1,1,0,0,220,9.7,8.2,27
Pizza quatro formaggi Real,0,1,1,0,0,225,10.1,10,21.1
Pizza Rossa sunca si ciuperci,0,1,1,0,0,194,7,6,28
Pizza salami Dr.Oetker,0,1,1,0,0,253,9.6,11.4,28
Pizza speciala Dr. Oetcker,0,1,1,0,0,254,9.6,10.1,31.2
Pizza speciale Ristorante Dr. Oetker,0,1,1,0,0,254,9.5,10.1,31.2
Pizza Speciale-K classic Kaufland,0,1,1,0,0,245,10,9.5,30.2
Pizza Super Supreme Pizza Hut,0,1,1,0,0,238,11,12,21
