"Lapte 1,6% Aldi R",1,1,1,0,0,44,3,1.6,4.5,0
"Lapte 0,1% Big Panda",1,1,1,0,0,29.7,3.2,0.1,4,0
"Lapte 0,1% degresat Zuzu",1,1,1,0,0,31,3.2,0,4.5,0
"Lapte 0,1% Dorna",1,1,1,0,0,32,3.3,0.1,4.5,0
"Lapte 0,1% Napolact",1,1,1,0,0,32,3.2,0.1,4.5,0
"Lapte 0,1% Oke",1,1,1,0,0,30,3,0.1,4.5,0
"Lapte 0,1% Premium Unicarm",1,1,1,0,0,31,3.2,0.1,4.5,0
"Lapte 0,1% UHT 365 Delhaize",1,1,1,0,0,33,3.3,0.1,4.8,0
"Lapte 0,2% Asturiana",1,1,1,0,0,34,3.2,0.2,4.7,0
"Lapte 0,3% cu cacao Ole Ole Brenac",1,1,1,0,0,64.3,3.4,0.3,12,0
"Lapte 0,3% grasime Pascual",1,1,1,0,0,35,3.1,0.3,5,0
"Lapte 0,5% Ollingegaard eco",1,1,1,0,0,41,4,0.5,4.8,0
"Lapte 0,5% UHT Milli",1,1,1,0,0,35,3.3,0.5,4.5,0
"Lapte 1,3% cu fibre Asturiana",1,1,1,0,0,49,2.8,1.3,4.6,4
"Lapte 1,4% cu cacao Monor",1,1,1,0,0,73,3.1,1.4,11.2,0.3
"Lapte 1,4% cu gust de banane Muller",1,1,1,0,0,76,3.4,1.4,12.5,0.1
"Lapte 1,4% cu gust de vanilie Muller",1,1,1,0,0,79,3.5,1.4,13.2,0
"Lapte 1,5% Aro",1,1,1,0,0,44,3,1.5,4.7,0
"Lapte 1,5% Big Panda",1,1,1,0,0,46,3.3,1.5,4.7,0
"Lapte 1,5% bio Naturmaelk",1,1,1,0,0,50,3.6,1.5,4.9,0
"Lapte 1,5% Boni",1,1,1,0,0,44,3,1.5,4.7,0
"Lapte 1,5% Buna Dimineata",1,1,1,0,0,44,3.2,1.5,4.5,0
"Lapte 1,5% Carm Olimp",1,1,1,0,0,44,3.2,1.5,4.5,0
"Lapte 1,5% Casa Buna Danone",1,1,1,0,0,43,3.2,1.5,4.2,0
"Lapte 1,5% Clever Billa",1,1,1,0,0,44,3,1.5,4.7,0
"Lapte 1,5% cu Omega3 Milli",1,1,1,0,0,43,3,1.5,4.5,0.1
"Lapte 1,5% eco Naturmaelk",1,1,1,0,0,45,3.5,1.5,4.9,0
"Lapte 1,5% grasime Real",1,1,1,0,0,47,3.4,1.5,4.9,0
"Lapte 1,5% JLC",1,1,1,0,0,44,2.8,1.5,4.8,0
"Lapte 1,5% La Dorna",1,1,1,0,0,44,3.2,1.5,4.5,0
"Lapte 1,5% Madeta",1,1,1,0,0,45,3.2,1.5,4.8,0
"Lapte 1,5% Meggle",1,1,1,0,0,45,3.3,1.5,4.8,0
"Lapte 1,5% Milli",1,1,1,0,0,43,3,1.5,4.5,0
"Lapte 1,5% Mizo Bio Farm",1,1,1,0,0,44,3,1.5,4.7,0
