Porumb dulce in vid Olympia,1,1,1,0,1,118,3.9,1.3,22.7,2
Porumb fiert,1,1,1,0,1,96,3.4,1.5,21,2.4
Porumb fiert Kaufland,1,1,1,0,1,89,2.9,2.5,11.2,2.8
 Legume congelate si condimente China Daucy,0,1,1,0,1,31,1.6,0.3,4,4
 Legume pt preparare la tigaie Traditional Vita Star,0,1,1,0,1,118,2.7,2.2,21.7,0
Amestec de 8 legume Uncle Statis,0,1,1,0,1,42.9,1.6,0.2,9.3,3
Amestec de legume congelate cu orez Hortex,0,1,1,0,1,66,2.4,0.3,13.3,0
Amestec de legume congelate Fitness Premium Iglo,0,1,1,0,1,26,2.3,0.2,3.7,0
Amestec de legume congelate Mexican Style Green Grocers,0,1,1,0,1,87,2.1,5.3,6.4,0
Amestec de legume cu orez Gradena,0,1,1,0,1,62,2.2,0.4,12.1,0
Amestec de legume cu unt Green Gold Plus,0,1,1,0,1,103,2.9,6.1,9,0
Amestec de legume de gradina congelate Casa Taraneasca,0,1,1,0,1,55,3,0.1,11.2,1
Amestec de legume de vara Iglo,0,1,1,0,1,37,1.7,0.3,6.9,0
Amestec de legume Italian style Green Grocers,0,1,1,0,1,45,2.1,2.3,3.3,0
Amestec de legume macedonean Bonduelle,0,1,1,0,1,43,2.2,0.3,7.9,0
Amestec de legume macedonean Delhaize,0,1,1,0,1,30,2.1,0.3,4.4,3.9
Amestec de legume macedonean Mega Image,0,1,1,0,1,45,2.4,0.2,8.4,3
Amestec de legume mexican cu orez Casa Taraneasca,0,1,1,0,1,169,5,1.1,36.8,1
Amestec de legume mexican Hortex,0,1,1,0,1,56,3.6,0.4,7.5,2
Amestec de legume Minestrone Dujardin,0,1,1,0,1,38,2.1,0.2,7.1,2.9
Amestec de legume pentru bors romanesc Casa Taraneasca,0,1,1,0,1,20,1.3,0.2,3.4,0
Amestec de legume pentru ciorba Minestrone Greens,0,1,1,0,1,42,2.1,0.2,8,0
Amestec de legume pentru ciorba vita Casa Taraneasca,0,1,1,0,1,51,2.5,0.1,10.7,0
Amestec de legume pentru salata boeuf Casa Taraneasca,0,1,1,0,1,56,2.2,0.1,12.1,0
Amestec de legume pentrut ciorba Emborg,0,1,1,0,1,20,1.6,0.1,3.2,0
Amestec de legume Vita Star,0,1,1,0,1,53,3.6,0.5,8.4,0
Amestec de legume Wok Chinese Findus,0,1,1,0,1,40,0.9,0.4,3.5,3
Amestec de vara Dujardin,0,1,1,0,1,31,2.3,0.2,5,3.5
Amestec Hawaii mix Dujardin,0,1,1,0,1,98,3.9,0.5,19.6,3.3
Amestec leguma de toamna Autumn Soup Icefield ,0,1,1,0,1,34,2.5,3.7,0.3,0
Amestec legume caraibean Frosta,0,1,1,0,1,42,1.7,0.9,5.7,0
Amestec legume congelate Vip Hortex,0,1,1,0,1,33,1.9,0.4,5.4,0.8
Amestec legume Country Mix,0,1,1,0,1,28,1.8,0.1,3.3,2.8
Amestec legume Country Vita Star,0,1,1,0,1,99,1.7,4.8,12.3,0
Amestec legume cu porumb Dujardin,0,1,1,0,1,59,3.1,0.5,8.3,4.4
Amestec legume de gradina Carrefour,0,1,1,0,1,55,3,0,11.2,5
Amestec legume de primavara Hortex,0,1,1,0,1,30,2.8,0.3,4,0.8
Amestec legume gradinaresc Iglo,0,1,1,0,1,67,3.4,0.4,12.1,0
Amestec legume mediteranean Iglo,0,1,1,0,1,27,2,0.1,4.4,0
Amestec legume oriental style Green Grocers Lidl,0,1,1,0,1,55,2,2.7,4.2,0
Amestec legume pentru ghiveci LegoFruct,0,1,1,0,1,34.1,1.6,0.3,5.9,0
Amestec legume pentru supa Edenia,0,1,1,0,1,29,1.7,0.2,3.4,3.5
Amestec legume pt ciorbe Vita Star,0,1,1,0,1,26,2.1,0.2,3.9,0
Amestec legume stir fry Dujardin,0,1,1,0,1,64,2.6,0.3,11.4,2.8
Amestec legume supa K-classic,0,1,1,0,1,32,1.2,0.6,4.2,0
Amestec mexican  3 legume Dujardin,0,1,1,0,1,72,5.2,0.6,11.4,5.8
Amestec mexican congelat Casa Taraneasca,0,1,1,0,1,46,2.8,0.2,8.8,0
Amestec mexican cu ciuperci champignon Hortex,0,1,1,0,1,97,3.6,0.5,19.2,0
Amestec mexican de legume Carrefour,0,1,1,0,1,46,2.8,0.2,8.8,5
Amestec mexican de legume congelate Winny,0,1,1,0,1,46,2.8,0.2,8.8,0
Amestec mexican de legume Gradena,0,1,1,0,1,46,2.4,0.5,7.9,0
Amestec mexican de legume No. 1,0,1,1,0,1,52,2.4,0.5,7.9,3.2
Amestec mexican de legume Vitae Doro,0,1,1,0,1,72.5,3.4,1.5,9.4,3.9
Amestec mexican Dujardin,0,1,1,0,1,50,2.5,0.4,7.3,3.8
Amestec mexican Edenia,0,1,1,0,1,50,2.5,0.4,9.2,3.8
Amestec mexican Gradina cu Soare,0,1,1,0,1,51,2.5,0.4,10.7,3
Amestec mexican LegoFruct,0,1,1,0,1,61.7,3.2,0.5,10.3,0
Amestec mexican Prima,0,1,1,0,1,20,3,0,2,0
Amestec mexican Tiko,0,1,1,0,1,46,2.4,0.5,7.9,0
Amestec pentru ciorba traditionala Casa Taraneasca,0,1,1,0,1,38,1.8,0.2,7.3,0
Amestec salata creata Spar,0,1,1,0,1,20,1.3,0.3,2.8,1.6
Amestec salata frantuzeasca BoVita,0,1,1,0,1,64,2.5,0,13,2
Amestec salata gourmet  Edulis,0,1,1,0,1,16.4,1.5,0.2,2.6,0
Amestec salata verde Hacendado,0,1,1,0,1,47,3.2,0.3,6.1,7.2
Andive,0,1,1,0,1,17,1.3,0.2,3.4,3.1
Anginare,0,1,1,0,1,51,3,0.2,11.5,5.4
Aperitiv de dovlecei Natur Bravo,0,1,1,0,1,97,1,7,7,0
Aperitiv de vinete Natur Bravo,0,1,1,0,1,119,1.2,9,7.5,0
Ardei (galben  congelat),0,1,1,0,1,25,1.4,0.1,4.7,1.7
Ardei (iute  congelat),0,1,1,0,1,40,2.1,0.2,9.5,1.5
Ardei (rosu  congelat),0,1,1,0,1,30,1.4,0.2,5.4,2
Ardei (verde  congelat),0,1,1,0,1,24,1.4,0.1,4.2,1.3
Ardei capia,1,1,1,0,1,26,1,0.3,6,2.1
Ardei capia copti Darinne,0,1,1,0,1,26,1,0,4,1
Ardei gras congelat felii Dujardin,0,1,1,0,1,26,0.9,0.2,5.2,1.9
Ardei gras copt,0,1,1,0,1,29,0.8,0.2,6,0
Ardei gras galben,0,1,1,0,1,27,1,0.2,6.2,0.9
Ardei iute galben Sera,0,1,1,0,1,10,0,0,2,0
Ardei iuti jalapeno murati,0,1,1,0,1,27,0.9,0.9,4.7,2.6
Ardei rosu congelat Ramiro,0,1,1,0,1,40,1,0.4,6.4,3.4
Ardei rosu fiert,0,1,1,0,1,28,0.9,0.2,6.7,1.2
Ardei rosu gras,1,1,1,0,1,31,1,0,6,2.1
Ardei rosu iute,1,1,1,0,1,40,2,0,9,1.5
Ardei verde,1,1,1,0,1,24,1.4,0,4,1.5
Ardei verde fiert,0,1,1,0,1,26,0.9,0.2,6.1,1.2
Ardei verde iute Alipende,0,1,1,0,1,29,2.5,0.6,3.7,0
Arpagic,0,1,1,0,1,30,3.3,0.7,4.4,2.5
Baby carrots congelati Dujardin,0,1,1,0,1,27,0.7,0.2,2.8,2.7
Baby carrots congelati Dujardin Edenia,0,1,1,0,1,32,0.7,0.2,2.8,2.7
Baby spinach Nattura,0,1,1,0,1,26,3.2,0.6,0.9,0
Bame congelate Casa Taraneasca,0,1,1,0,1,30,1.7,0.2,6.6,2.2
Boabe de naut fierte,0,1,1,0,1,164,8.9,2.6,27.4,7.6
Boabe de naut uscate,0,1,1,0,1,364,19.3,6,60.7,17.4
Boabe de soia bio All Green,0,1,1,0,1,374,38,17.2,17,15
Broccoli,0,1,1,0,1,34,2.8,0,6.6,2.6
Broccoli (congelat),0,1,1,0,1,35,2.4,0.4,7.2,3.3
Broccoli BoVita,0,1,1,0,1,23,2.7,0.1,4.9,0.8
Broccoli cogelat Spar,0,1,1,0,1,27,3,0,2,3.6
Broccoli congelat Ardo,0,1,1,0,1,24,3.1,0.8,1.1,2
Broccoli congelat Best Price,0,1,1,0,1,20,3,0,2,2
Broccoli congelat Bonduelle,0,1,1,0,1,25,2.6,0.4,2.8,2.2
Broccoli congelat Dujardin,0,1,1,0,1,20,2.6,0.3,1.7,1.7
Broccoli congelat Gardena,0,1,1,0,1,24,2.7,0.4,2.4,0
Broccoli congelat Greens,0,1,1,0,1,28.7,4,0.3,2.5,0
Broccoli congelat Hortex,0,1,1,0,1,24,2.7,0.4,2.4,2
Broccoli congelat Mercadona,0,1,1,0,1,33,3.3,0.2,4.4,2.6
Broccoli congelat rapid Gradena,0,1,1,0,1,28.2,3,0,2,4.1
Broccoli congelati Icefield Lidl,0,1,1,0,1,29,2.7,0.4,2.4,0
Broccoli fiert,0,1,1,0,1,35,2.4,0.4,7.2,3.3
Broccoli mix Icefield,0,1,1,0,1,28,1.9,0.3,3.1,0.1
Bureti murati,0,1,1,0,1,26,2.5,0.2,5.1,1.5
Capere Irma,0,1,1,0,1,25,0.5,0.5,2,0
Cartof copt,0,1,1,0,1,93,2.5,0.1,21.2,2.2
Cartofi (congelati),0,1,1,0,1,90,1.9,0.1,19.7,2
Cartofi congelati albi pentru piure si copt Pizzoli,0,1,1,0,1,64,2.2,0.1,13.5,1.7
Cartofi congelati cuburi Carrefour,0,1,1,0,1,76,2,0,17,0
Cartofi congelati Golden Wedges McCain,0,1,1,0,1,136,2.5,4,22.5,0
Cartofi copt Harvest Basket,0,1,1,0,1,75,2,0.1,15.5,2.1
Cartofi de iarna,0,1,1,0,1,88,2,0.2,20,2
Cartofi de vara,0,1,1,0,1,77,2,0.1,17.5,2.2
Cartofi dulci,0,1,1,0,1,86,1.6,0.1,20.1,3
Cartofi dulci copti Yams,0,1,1,0,1,116,1.5,0.1,27.6,3.9
Cartofi fierti,0,1,1,0,1,87,1.9,0.1,20.1,2
Cartofi pai congelati pentru cuptor Farm Frites,0,1,1,0,1,165,2.6,5.1,27.2,3.2
Cartofi rosii pentru salata si fiert Pizzoli,0,1,1,0,1,64,2.2,0.1,13.5,1.7
Cartofi weges congelati Farm Frites,0,1,1,0,1,115,2,3,20,3.3
Castraveti,1,1,1,0,1,12,0.6,0.2,2.2,0.7
Castraveti acrii Irma,0,1,1,0,1,25,1.5,0.5,4,0
Castraveti in otet cornichon Bodrum,0,1,1,0,1,25.1,1.4,0.2,4.4,0
Castraveti in otet Darinne,0,1,1,0,1,11,0.5,0,2.3,0
Castraveti in otet Maxims,0,1,1,0,1,12.4,0.6,0,2,1
Castraveti in otet Raureni,0,1,1,0,1,29,0.8,0.1,5.6,1.2
Castraveti murati,0,1,1,0,1,12,1,0.2,3,1
Castraveti murati Aldi R,0,1,1,0,1,16,0.8,0.2,1.7,0.9
Castraveti murati Chira,0,1,1,0,1,23,0.4,0.1,4.6,0
Castraveti murati Winny,0,1,1,0,1,25,0.6,0,5.6,0.6
Ceapa,1,1,1,0,1,42,0.9,0.1,10.1,1.4
Ceapa argintie murata Carrefour,0,1,1,0,1,46,0.8,0.2,11.1,1.4
Ceapa noua,1,1,1,0,1,37,2.2,0.3,6.3,1.4
Ceapa rosie,1,1,1,0,1,39,1.2,0.1,8.3,1.4
Ceapa rosie (congelata),0,1,1,0,1,37,1.4,0.1,7.4,1.2
Ceapa verde,0,1,1,0,1,32,1.8,0.2,7.3,2.6
Cicoare,0,1,1,0,1,20,1.7,0.2,4.2,3.1
Ciuperci champignon Aro,0,1,1,0,1,29,2.5,0.5,3,0
Ciuperci champignon la cutie Vitae Doro,0,1,1,0,1,15,2,0.5,0,2.8
Ciuperci champignon Lutece,0,1,1,0,1,13,2,0.4,0.2,2.8
Ciuperci champignon  crude,0,1,1,0,1,22,3.1,0.3,3.3,1
Ciuperci champignon  la cutie,0,1,1,0,1,26,2,1,5,2.4
Ciuperci congelate Aldi R,0,1,1,0,1,42,2.6,0.3,7.2,1.6
Ciuperci congelate Dujardin,0,1,1,0,1,11,1.2,0.1,1.2,0.9
Ciuperci congelate Friofrigo,0,1,1,0,1,15,2.7,0.2,0.7,0
Ciuperci congelate gomba Cora,0,1,1,0,1,40,5.9,0.2,3.3,0.8
Ciuperci congelate pt hotel Ardo,0,1,1,0,1,13,1.8,0.5,0.4,0
Ciuperci de padure cu cartofi Hortex,0,1,1,0,1,45,2.4,1.3,5.9,1.3
