Bautura carbogazoasa Pepsi,1,1,1,0,0,42,0,0,11.8,0
Bautura carbogazoasa Sprite,1,1,1,0,0,39,0,0,9.6,0
Bautura Dr. Pepper less sugar,1,1,1,0,0,28,0,0,6.9,0
Bautura energizanta 365,1,1,1,0,0,115,0.3,0,29,0
Bere,0,1,1,0,0,43,0.5,0,3.5,0
Brandy 40%,0,1,1,0,0,225,0,0,0.5,0
Cafea,1,1,0,0,0,1,0,0,0,0
Cappuccino clasic Doncafe,1,1,0,0,0,434,6,10,80,0
Captains Morgan White Rum,0,1,1,0,0,216,0,0,0,0
Ceai,1,1,1,0,0,0,0,0,0,0
Ciocolata calda,1,1,1,0,0,353,6,12,59,0
Coca-cola,1,1,1,0,0,42,0,0,10.6,0
Coniac 40%,0,1,1,0,0,239,0,0,0.1,0
Fanta portocale,1,1,1,0,0,46,0,0,14.6,0
Gin,0,1,1,0,0,263,0,0,0,0
Ice Tea Nestea Lamaie,1,1,1,0,0,32,0,0,7.5,0
Jack Daniels,0,1,1,0,0,222,0,0,0,0
Lapte de cocos Leader Price,1,1,1,0,0,243,2,25,2.6,0
Lichior Irish Cream Baileys,0,1,1,0,0,350,3.2,15.7,20,0
Martini,0,1,1,0,0,243,0,0,2,0
Nectar de piersici Belsina Plus,1,1,1,0,0,60,0.2,0,14.4,0
Pina Colada,1,1,1,0,0,174,0.4,1.9,22.7,0.3
Red Bull,1,1,1,0,0,45,0.3,0.1,10.9,0
Rom,0,1,1,0,0,231,0,0,0,0
Sake,0,1,1,0,0,134,0.5,0,5,0
Sampanie dulce,0,1,1,0,0,117,0.2,0,12,0
Sangria,0,1,1,0,0,150,0,0,18,0
Suc natural de mere,1,1,1,0,0,47,0.1,0.1,11.7,0.1
Suc natural de rodii Santal,1,1,1,0,0,55,0.1,0.1,13.5,0
Suc portocale Active Fitness Pfanner,1,1,1,0,0,14.1,0.3,0,2.9,0.4
Suc rosii Santal,1,1,1,0,0,20,1.1,0.2,3.5,0.1
Suc sfecla rosie,1,1,1,0,0,50,0,0,11.3,2.3
Suc struguri Hey Ho,1,1,1,0,0,20,0.1,0,4.6,0
Suc Tazo Giant Peach,1,1,1,0,0,40,0,0,9.2,0
Suc tutti frutti Adria,1,1,1,0,0,7.4,0,0,1.7,0
Suc visine Souplesse,1,1,1,0,0,11.7,0,0,2.6,0
Tedi cu morcovi si banane,1,1,1,0,0,52,0.3,0.1,12,0
Tequila,0,1,1,0,0,108,0,0,0,0
Tuica,0,1,1,0,0,250,0,0,0,0
Vermut 13%,0,1,1,0,0,158,0,0,15.9,0
Vin alb demi-dulce,0,1,1,0,0,70,0.1,0,2,0
Vin rosu demi-dulce,0,1,1,0,0,98,0,0,5.5,0
Vodka,0,1,1,0,0,231,0,0,0,0
Whiskey,0,1,1,0,0,251,0,0,0.1,0
Milk shake cu ciocolata Gerlinea,1,1,1,0,0,676,43,18,84,4
Ciocolata extra cocoa Milka,1,1,1,0,0,545,8.6,36,45.5,5.8
Ice coffee,1,1,1,0,0,82,3.5,1.5,13,0
