Baton musli cereale si visine Nestle,1,1,1,0,0,382,5.8,7.2,67,4.5
Briosa,1,1,1,0,0,346,9.5,7.5,57.8,3.2
Acadea pe bat,1,1,1,0,0,392,0,0,100,0
Amandina,1,1,1,0,0,243.6,6,9.3,35.1,0.8
Baclava,1,1,1,0,0,490,5,36,36,0
Baton ciocolata Albeni,1,1,1,0,0,486,3.9,26.3,58.4,0
Bezele Haribo,1,1,1,0,0,336,3.5,0.5,80.6,0
Biscuiti ,1,1,1,0,0,468,5,23,60,0
Bomboane cu lapte,1,1,1,0,0,394,0,0.2,98,0
Budinca de vanilie Tnuva,1,1,1,0,0,116,3,3.6,18,0
Budinca desert din ciocolata Grand Dessert Ehrmann,1,1,1,0,0,113,2.9,2.2,20.5,0
Caramele,1,1,1,0,0,382,4.6,8.1,77,0
Chec,1,1,1,0,0,384,6.4,17.6,53.5,0
Ciocolata  65 % cacao Schogetten,1,1,1,0,0,537,9.4,35,39,0
Ciocolata cu lapte Milka,1,1,1,0,0,545,7.7,33.5,52.6,0
Clatite pufoase Dr. Oetker,1,1,1,0,0,359,7.3,16.6,45.1,1.8
Cozonac,1,1,1,0,0,540,7.4,12.2,80.1,3.4
Croissant cu ciocolata 365,1,1,1,0,0,443,6.3,25.7,46.3,0
Ecler,1,1,1,0,0,329,5.9,10.2,55.2,0
Fursecuri de casa,1,1,1,0,0,447.7,6,20.8,58.5,0.6
Glucoza Amy,1,1,1,0,0,320,0,0,77.7,0
Gogoasa simpla,1,1,1,0,0,426,5.2,22.9,50.8,1.5
Inghetata,1,1,1,0,0,164,2.2,4.5,27.8,0
Jeleuri Jelly Mania,1,1,1,0,0,330,5,0.3,64.1,0
Martipan Zentis,1,1,1,0,0,438,4.8,16,67,2.6
Napolitana cu alune Lachita,1,1,1,0,0,528.9,7.1,33.6,49,0
Ou de ciocolata Kinder Surprise,1,1,1,0,0,564,9,35.3,52.5,0
Pandispan,1,1,1,0,0,340,8.2,4.3,67.1,0
Piure de castane Raureni,1,1,1,0,0,176,2.9,0.2,41.5,1.5
Profiterol Pasticceria del Centro,1,1,1,0,0,295,4,18,26,1.8
Rahat,1,1,1,0,0,365,6,9,65,0
Salam de biscuiti cu cacao Unikat,1,1,1,0,0,256,5.2,14,12,0
Stafide in ciocolata amaruie First Nice,1,1,1,0,0,443,3.5,19.7,60.6,0
Tarta cu fructe,1,1,1,0,0,276,3.2,9,47.2,0
Tort de ciocolata,1,1,1,0,0,235,2.6,10.5,34.9,1.8
Turta dulce,1,1,1,0,0,366,5.9,4.7,75,0
Batoane cu pasta de fructe cu zmeura Aptonia,1,1,1,0,0,330,2,0.5,80,3
Baton cu arahide Nutbar Elmas,1,1,1,0,0,483,14.9,31.2,43.6,5
Baton nutbar cu arahide si susan Elmas,1,1,1,0,0,473,13.2,31.4,48,7.5
Budinca cu ciocolata Dr.Oetker Original Pudding,1,1,1,0,0,158,4.7,4.5,24.8,0
Budinca de  vanilie Original Pudding Dr.Oetker,1,1,1,0,0,102,2.8,2.8,16.5,0
