Afine,1,1,1,0,0,57,0.7,0.3,14.5,2.4
Agrise,1,1,1,0,0,44,0.9,0.6,10.2,4.3
Amestec de fructe uscate Alesto,1,1,1,0,0,244,3.3,1.5,46.1,8.6
Ananas  proaspat,1,1,1,0,0,48,0.4,0,12,1.4
Avocado,1,1,1,0,0,160,2,14.7,8.5,6.7
Banane,1,1,1,0,0,89,1.1,0.3,22.8,2.6
Caise,1,1,1,0,0,48,1.4,0.4,11.1,2
Capsuni,1,1,1,0,0,32,0.9,0.3,7.7,2
Catina,1,1,1,0,0,52,0.9,2.5,5,0
Cherimoya,1,1,1,0,0,75,1.6,0.7,17.7,3
Cirese,1,1,1,0,0,63,1.1,0.2,16,2.1
Clementine,1,1,1,0,0,38,0,0,8,1
Coacaze negre,1,1,1,0,0,57,0.7,0.3,14.5,2.4
Compot ananas,1,1,1,0,0,49,0,0,12.3,0.8
Corcoduse,1,1,1,0,0,27,0.2,0,6.4,1
Curmale (presate),1,1,1,0,0,286,2.4,0,73.8,7.1
Dude (Agude) proaspete,1,1,1,0,0,43,1.4,0.4,9.8,1.7
Fragi,1,1,1,0,0,32,0.9,0.3,7.2,2
Fructul pasiunii,1,1,1,0,0,97,2.2,0.7,23,0
Grapefruit,1,1,1,0,0,32,0.6,0.1,8.1,1.1
Guava,1,1,1,0,0,68,2.6,1,14.3,5.4
Gutui,1,1,1,0,0,57,0.4,0.1,15,2
Kaki,1,1,1,0,0,70,0.6,0.2,18.6,3.6
Kiwano,1,1,1,0,0,25,1,0,3,1
Kiwi,1,1,1,0,0,61,1,1,15,3
Kumquat proaspat,1,1,1,0,0,71,1.9,0.9,15.9,1
Lamaie,1,1,1,0,0,29,1.1,0.3,9.3,2.8
Litchi proaspete,1,1,1,0,0,66,0.8,0.4,16.5,1.3
Mandarine,1,1,1,0,0,53,0.8,0.3,13.3,1.8
Mango,1,1,1,0,0,65,0.5,0.3,17,1.8
Mure,1,1,1,0,0,43,1.4,0.5,9.6,5.3
Nectarine,1,1,1,0,0,47,0.4,0,11.4,2
Papaya,1,1,1,0,0,39,0.6,0,9.8,1.8
Pepene galben,1,1,1,0,0,34,0.8,0.2,8.2,0.9
Pepene verde (cu miez rosu),1,1,1,0,0,30,0.6,0.2,7.6,0.4
Pere,1,1,1,0,0,58,0.4,0.1,15.5,3.1
Piersici,1,1,1,0,0,39,0.9,0.3,9.5,1.5
Pomelo,1,1,1,0,0,38,0.8,0,9.6,1
Portocale,1,1,1,0,0,47,0.9,0.1,11.8,2.4
Prune,1,1,1,0,0,59.7,0.7,0,13.1,2.1
Rodii,1,1,1,0,0,68,1,0,17.2,0.6
Smochine  uscate,1,1,1,0,0,249,3.3,0.9,63.9,9.8
Stafide,1,1,1,0,0,299,3.1,0.5,79.2,3.7
Struguri,1,1,1,0,0,69,0.7,0.2,18.1,0.9
Visine,1,1,1,0,0,50,1,0.3,12.2,1.6
Zmeura,1,1,1,0,0,52,1.2,0.7,11.9,6.5
