Aripioare picante KFC,0,1,1,0,0,320,20.3,21.8,10.7
Big Mac McDonalds,0,1,1,0,0,252,10.4,12.7,18.8
Cartofi prajiti,0,1,1,0,0,319,4,17,38
Cheeseburger McDonalds,0,1,1,0,0,263,13,10.5,29
Chicken McNuggets McDonalds,0,1,1,0,0,297,15.6,18.8,17
Crispy Strips KFC,0,1,1,0,0,328,14.2,16.4,9.6
Double cheeseburger McDonalds,0,1,1,0,0,266,15.2,14,20.6
Dublu McPuisor McDonalds,0,1,1,0,0,285,12.7,12.1,24.2
Hamburger McDonalds,0,1,1,0,0,255,13,9,30
Inele de ceapa pane Burger King,0,1,1,0,0,336.4,4.8,16.9,41.1
Inghetata cu caramel McDonalds,0,1,1,0,0,295,5,7,53
Lasagna Bolognese Mega Image,0,1,1,0,0,135,8,6,11.6
McChicken McDonalds,0,1,1,0,0,252,0.1,11,28
McPuisor McDonalds,0,1,1,0,0,185.3,7,7,23.7
Piept curcan umplut cu cascaval congelat Saga,0,1,1,0,0,259,10,22,13
Piept pui reteta originala KFC,0,1,1,0,0,237.7,22.6,12.4,9
Pizza capriciosa Ristorante Dr. Oetker,0,1,1,0,0,225,8,8.5,29.3
Pizza speciala Dr. Oetcker,0,1,1,0,0,254,9.6,10.1,31.2
Pui la rotisor,0,1,1,0,0,183,24.7,9.3,0
Pulpa pui reteta originala KFC,0,1,1,0,0,269.1,14.9,18.3,11.1
Sandwich Chicken Grill McDonalds,0,1,1,0,0,230,16,7.3,24
Sandwich Twister KFC,0,1,1,0,0,196.7,8.9,9.2,19.9
Sandwich Zinger KFC,0,1,1,0,0,267.9,15.7,12.3,23.7
Shaorma,0,1,1,0,0,238,8.2,14.4,18.9
Snitel de curcan congelat Saga,0,1,1,0,0,194,14,10,12
Snitel din piept de pui semipreparat Sadia,0,1,1,0,0,208,15,10,14
Taitei cu file din piept de pui Lidl,0,1,1,0,0,102,6.7,3.9,8.9
Briose cu ciocolata Pan Goccioli Mulino Bianco,1,1,1,0,0,370,8,15.5,48.5
Chips cartofi,1,1,1,0,0,536,7.1,35.7,53.6
Nachos Tortilla Chips Chili Casa Fiesta,1,1,1,0,0,500,6.5,23,65
Popcorn in ulei,1,1,1,0,0,518,9,28.1,57.1
Pufuleti,1,1,1,0,0,445,5,22,58
Tortillas chips gout fromage Carrefour,1,1,1,0,0,493,6.7,22,67
Placinta clasica cu branza Bella,1,1,1,0,0,363,4,29,18
