Lapte 0.1% UHT 365 Delhaize,1,1,1,0,0,33,3.3,0.1,4.8,0
Lapte 1.5% Kaufland,1,1,1,0,0,44,3,2,5,0
Lapte 3.5% Raraul,1,1,1,0,0,62,3.2,3.5,4.5,0
Lapte batut,1,1,1,0,0,66,3.4,3.6,4.6,0
Lapte cu cacao si gust de ciocolata,1,1,1,0,0,66.3,3.2,1.5,10,0
Sana 0.1% light Monor,1,1,1,0,0,32.7,3.3,0.1,4.4,0
Sana 3% Eco Mandruta,1,1,1,0,0,47,3.2,3,4,0
Sana 3.5% Nutriday Danone,1,1,1,0,0,62,3.5,3.5,3.8,0
Amestec branzeturi maturate Agriform,1,0,1,0,0,390,35,26.5,3,0
Aperitive de branza Delaco,1,0,1,0,0,327,9,31,3,0
Batoane mozzarella Cheesetrings Ficello,1,1,1,0,0,285.7,28.5,19,0,0
Branza Brie,1,0,1,0,0,337,20.8,27.7,0.5,0
Branza burduf de Ibanesti,1,0,1,0,0,328,0,45,0,0
Branza Camembert,1,0,1,0,0,308,21.5,23,1.5,0
Branza Cheddar,1,0,1,0,0,403,24.9,33.1,1.3,0
Branza Cottage Tnuva Slim,1,0,1,0,0,62,11,2,1.8,0
Branza daneza,1,0,1,0,0,450,6,19,62,1
Branza Fagaras Napolact,1,0,1,0,0,146,13,6,10,0
Branza feta,1,0,1,0,0,264,14.2,21.3,4.1,0
Branza Gouda Gold,1,0,1,0,0,400,23,30,0,0
Branza Gruyere,1,0,1,0,0,413,29.8,32.3,0.4,0
Branza halloumi,1,1,1,0,0,321,21.4,25,3.6,0
Brinza alba sarata Islos natur Milkana,1,0,1,0,0,208,11.3,16.5,3.5,0
Cas de oaie,1,0,1,0,0,280,25,19,2.3,0
Cas de vaca,1,0,1,0,0,254,24.3,16,2.8,0
Cascaval,1,0,1,0,0,283,25,19,1,0
Cheese mix Kaufland,1,0,1,0,0,330,26,25,0.1,0
Crema de cascaval alb,1,0,1,0,0,252,13.4,20.6,1.4,0
Felii cascaval  Kaufland,1,0,1,0,0,177,33,5,0,0
Gorgonzola,1,0,1,0,0,350,21,28,1.5,0
Mozzarella,1,0,1,0,0,318,21.6,24.6,2.5,0
Parmezan,1,0,1,0,0,431,38.5,28.6,4.1,0
Telemea de vaca,1,0,1,0,0,273,19.4,20.4,0,0
Urda,1,0,1,0,0,136,18,4,6,0
Kefir 3.5% Napolact,1,1,1,0,0,62,3.5,3.5,4,0
Crema de iaurt,1,1,1,0,0,80,3.4,5,4.6,0
Iaurt  2.8% Covalact,1,1,1,0,0,55,3.4,2.8,4,0
Iaurt 2.8% Mandruta,1,1,1,0,0,55,3.4,2.8,4,0
Iaurt cu fructe,1,1,1,0,0,74,3.5,2,10.3,0
Iaurt de baut 0.1% Zuzu,1,1,1,0,0,31,3.2,0.1,4.5,0
Ayran,1,1,1,0,0,51.6,2.9,2.8,0,0
Crema de unt natur Gustoso,1,0,0,0,0,360,2.5,38,2,0
