Apa,0,0,0,0,0
Apa aromata Voslauer Balance,16,0.1,0.1,3.8,0
Apa minerala cu aroma de portocale Voslauer Biolimo,25,0.1,0.1,5.2,0
Apa minerala Feelings cu gust de mar,14.7,0,0,3.5,0
Apa tonica Schweppes Kinley,37,0,0,8.9,0
Apa tonica Schweppes Mandarin,42,0,0,10.1,0
Bautura alcoolicac pe baza de rom Bacardi Breezer,44.4,0,0,3.7,0
Bautura bio din ovaz Joya,46,0.6,1,8.2,0.9
Bautura carbogazoasa Allegria Tropical,6.3,0.1,0,1.2,0
Bautura carbogazoasa Cola light Freeway Lidl,1,0,0,0.1,0
Bautura carbogazoasa Pepsi,42,0,0,11.8,0
Bautura carbogazoasa Pepsi Light,0.2,0.1,0,0.1,0
Bautura carbogazoasa Pepsi Max,0.3,0,0,0,0
Bautura carbogazoasa Pepsi Twist Lemon,41,0,0,10,0
Bautura carbogazoasa Sprite,39,0,0,9.6,0
Bautura cu fructe si leche Don Simon,33,0.4,0,7.6,0
Bautura cu lamaie si ceai verde Top Lemon-Lime Santal,34,0,0,8.6,0
"Bautura cu morcov, portocale, mar Tedi",52,0.3,0.1,12.4,1.3
Bautura de portocale Don Simon,43,0.6,0.1,10,0
Bautura de soia cu vanilie Delhaize,56,3,1.8,6.9,0.5
Bautura din orz solubil Crastan,344,8,0,78,4
Bautura din soia cu aroma de vanilie Inedit,33,1.8,1.1,4.1,0
Bautura din soia cu ciocolata elvetiana Joya,80,4,2.8,9.2,1
Bautura din soia Soia & Fibre Carrefour,50,3.6,2.1,2.9,2.5
Bautura Dr. Pepper less sugar,28,0,0,6.9,0
Bautura energizanta 365,115,0.3,0,29,0
Bautura energizanta Burn,62,0.4,0,14.5,0
Bautura energizanta light Watt Energy,3,0.4,0,0,0.1
Bautura energizanta Mountain Dew,47.8,0,0,12.9,0
Bautura energizanta Red Bull Cola,38,0,0,8.8,0
Bautura energizanta Red Bull sugarfree,3,0,0,0,0
Bautura energizanta Vibe,40.4,0.1,0.1,9.7,0
Bautura inlocuitor cafea Orzo instant SanoVita,344,8,0,78,0
Bautura instant aromatizata cu continut de cafea solubila Typ Plus,396,4.5,8.5,75.6,2.2
Bautura instant dietetica 3 in 1 Sly Diet,362.7,10.7,0,53.2,11.9
Bautura instant pe baza de extract de cereale Inka,370,4.7,0,88.4,0
Bautura light de portocale Giusto Natura,8.7,0,0,1.9,0
Bautura light Ice Tea Lemon Ice Tea,1,0.1,0.1,0.1,0.1
Bautura naturala de coacaze Costa,19,0.1,0,4.7,0.2
Bautura pentru sportivi cu aroma de lamaie Gatorade,25,0,0,6,0
"Bautura racoritoare cactus, mere, lamai verzi Tymbark",47,0.1,0.1,11.4,0
Bautura racoritoare cocktail rosu Multi vitamine Tymbark,37,0.1,0,9.2,0
Bautura racoritoare cu Aloe Vera Tropical,38,0,0,9.6,0
Bautura racoritoare cu capsuni Tymbark Fontea,18,0,0,4.5,0
Bautura racoritoare cu lamaie light Jana,8,0,0,2,0
Bautura racoritoare cu lamaie Tymbark Fontea,8,0,0,4.5,0
Bautura racoritoare cu pulpa de aloe vera Paldo,44.4,0,0.1,9.5,0
Bautura racoritoare cu visine si mere Tymbark,49,0,0,12.1,0
Bautura racoritoare Dr. Pepper,41,0,0,10.1,0
Bautura racoritoare portocale si mango Hortex,41,0.2,0.1,10,0
Bautura racoritoare Powerade Mountain Blast,35,0,0,8.2,0
Bautura racoritoare Tymbark Cool Visine,50,0,0,10,0
Bere,43,0.5,0,3.5,0
Bere Bavaria,23.5,0,0,0,0
Bere Becks Green Lemon,37,0,0,6,0
Bere blonda alcool 4% 365 Mega Image,29.5,0.3,0,1.7,0
Bere blonda Desperados,56.1,0,1,0,0
Bere bruna,48,0.3,0,5.7,0
Bere Carlsberg,43,0,0,0,0
Bere Ciuc,43,0.5,0,3.6,0
Bere fara alcool,19,0,0,4,0
Bere nefiltrata Oettinger,34.6,0.2,0,4.6,0
Bere Skol,43,0,0,0,0
Bere Stephans Brau,39,0.4,0,2.4,0
Brandy 40%,225,0,0,0.5,0
Branza proaspata de vaci cu nuci Pilos,142,10.2,5,14,0
Cafe Latte McDonalds,22.5,1.5,1,2,0
Cafea,1,0,0,0,0
Cafea 2 in 1 fara zahar Mokate,415,4,23,48,0
Cafea 3 in 1 cu topping de ciocolata Jacobs,375,2.9,9.4,69,0.8
Cafea 3 in 1 Doncafe,452,1,16,77,0
Cafea 4 in 1 cu guarana Doncafe,435,3,10,84,0
Cafea Arabita pentru filtru Amway,183,13.3,12.8,1.5,0
Cafea aroma italiana Kimbo ,10.5,1.3,0,1.2,0
Cafea cappuccino cu alune Doncafe Mixes,450,3,13,80,0
Cafea cool break cu aroma capsuni Jacobs,450,5,15.5,73.5,0
Cafea cu lapte fara zahar de la automat,22.5,0.4,2,0.6,0
Cafea cu lapte si zahar de la automat,50,0.4,2,7.6,0
Cafea din plante in amestec cu cafea arabica si robusta Fitness Coffee,47.6,1.3,0.4,1.6,4
Cafea espresso,2,0.1,0.2,0,0
Cafea espresso machiatto Starbucks ,16,1,0.5,2,0
Cafea frappe Original Nescafe,392,14.5,4.2,73.3,0
Cafea instant Cappuccino Vanilla Doncafe,428,5,9,81,0
Cafea Jacobs 3 in 1 alune de padure,400,3.7,13.5,66,0
Cafea Jacobs 3 in 1 Classic,405,3.5,13,68,0
Cafea Jacobs 3 in 1 intense,407,3,12.6,71.2,0
Cafea Latte machiato Dolce Gusto,39,1.9,3.6,1.9,0.1
Cafea Latte Machiato Illy,46,1.3,1.3,7.3,0
Cafea Lavazza Crema e Gusto,12,0.9,0,2,0
Cafea Lavazza Qualità Oro,12,0.8,0,2,0
Cafea Lavazza Rossa,12,0.8,0,2,0
Cafea macinata Lavazza Suerte,12,0.6,0,2.2,0
Cafea Nescafe Brasero,66,7,0.2,9,27
