Aripi pui crude Glenfell Lidl,212,19.1,14.1,1.9,0
Aripioare picante KFC,320,20.3,21.8,10.7,0.1
Bagheta alba sandwich cu salam vienez Pincess,302.4,11.7,16.7,26.5,0
Big Mac McDonalds,252,10.4,12.7,18.8,1
Bruschette Pizza Hut,300,8,12,40,2
Bucatele de pui cu sos Frosta,220,10.8,18.5,11.5,0
Burger de peste Tiko,187,6.7,10.3,17,0
Caffe Latte McDonalds,23.5,1.5,1,2,0
Cartofi gratinati congelati Delhaize,116,3.9,5.8,12.1,2.3
Cartofi prajiti,319,4,17,38,4
Cartofi prajiti KFC,311,3.6,15.6,39.2,3.7
Cartofi prajiti McDonalds,323,4.2,15.5,40.8,4.2
Cartofi taranesti KFC,197,2.9,8.6,27,3.5
Cartofi wedges K-Classic Kaufland,147,2.5,5,22,3
Cartofi wedges McDonalds,355,6,18,43,3
Cheeseburger McDonalds,263,13,10.5,29,1.5
Chicken McNuggets McDonalds,297,15.6,18.8,17,0
Chiftele preparate Selgros,259.3,16.2,16.7,9.3,0.4
Chili con carne Delhaize,110,7.3,2.1,15.6,4.3
Coasta pui reteta originala KFC,230.2,25.3,11.8,5.9,0
Conserva chili con carne Rancho,161,10,6.9,14.8,0
Copan pui reteta originala KFC,237.5,17.2,13.1,12.5,0
Cordon bleu Baroni Lidl,238,9.2,14,18.8,0
Crispy Strips KFC,328,14.2,16.4,9.6,1.4
Crochete vegetale (falafel) Al Wadi,411,14,22,40,0
Croissant simplu Euro Shopper,385,6,24,37,0
Cubulete din piept de pui Sav'or,92,20,2,3,0
Double cheeseburger McDonalds,266,15.2,14,20.6,1
Dublu McPuisor McDonalds,285,12.7,12.1,24.2,1.2
Enchiladas de pui cu sos de rosii si casval Maheso,157,9.7,6.8,14.2,0
Fasole barbecue KFC,79.2,5,0.7,19,5.7
Filet-o-fish McDonalds,267.6,10.5,12.7,26.8,1.2
Foietaj baton cu branza dulce Fornetti XXL,340.2,7.4,16.5,40.5,0
Foietaj branza si cascaval Fornetti,357,9.5,17.2,38.5,0
Foietaj cocos si crema de ciocolata Fornetti,266,7.9,9.1,36.3,0
Foietaj cu branza dulce Fornetti,287,8.2,11.8,34.9,0
