Afine,57,0.7,0.3,14.5,2.4
Afine bio congelate Ecofruct,66,0.7,0.6,13.9,2.7
Afine rosii bio congelate Ecofruct,33,1.1,0.5,6.1,3.5
Agrise,44,0.9,0.6,10.2,4.3
Amestec de fructe uscate Alesto,244,3.3,1.5,46.1,8.6
"Amestec de goji, merisoare si agrise Mega Image",734,15.4,5.8,156.3,0
Amestec de nuci Spar Vital,628,17,53,18,5.7
Amestec fructe de padure congelate KClassic,59,1,0.5,10.1,0
Ananas bucati in sirop slab indulcit Clever,70,0,0,17,1
Ananas compot rondele si suc,60,0.4,0.1,15.7,0.8
Ananas confiat,325,2.5,2.5,75,5
Ananas in sirop Kouki,67.7,0.4,0,16,1
"Ananas, proaspat",48,0.4,0,12,1.4
Apa de cocos,19,0.7,0.2,3.7,1.1
Aronia deshidratate,284,2.3,2.4,54.9,16.9
Avocado,160,2,14.7,8.5,6.7
Banane,89,1.1,0.3,22.8,2.6
Banane deshidratate,519,2.3,33.6,58.4,7.7
Caise,48,1.4,0.4,11.1,2
Caise deshidratate Domino,213,2.3,0.3,47.3,0
Caise deshidratate Mega Image,284,3.4,0.6,62.6,7.3
Caise deshidratate Orlando's,269,3.4,0.6,62.6,7.3
Caise deshidratate Real,239,5,0.5,47.8,8.6
Caise uscate,241,3.4,0.5,62.6,7.3
Capsuni,32,0.9,0.3,7.7,2
Capsuni congelate,35,0.4,0.1,9.1,2.1
Capsuni congelate First Fruit,28,1.5,0.5,4.7,0
Capsuni congelate Green Grocer's,28,0.7,0.4,4.6,1.8
Capsuni congelate Hortex,32,0.7,0.4,5.4,0
Capsuni congelate Kaufland,34,0.7,0.4,6,0
Carambola,31,1,0.3,6.7,2.8
Catalup deshidratat Sanovita,343,0,0,86,3.2
Catina,52,0.9,2.5,5,0
Cherimoya,75,1.6,0.7,17.7,3
Cirese,63,1.1,0.2,16,2.1
Cirese congelate Hortex,49,0.9,0.4,9.9,0
Clementine,38,0,0,8,1
Coacaze negre,57,0.7,0.3,14.5,2.4
Coacaze negre (congelate),50,0.4,0.7,12.1,2.9
Coacaze negre deshidratate Orchid,326,2,0.5,75,9
Coacaze rosii,34,0.6,0,7,2
Coacaze rosii (congelate),33,1.2,0,5.3,2.8
Coacaze rosii uscate Flores Farm,308,0.1,1.4,82.4,5.7
Coarne de padure,76,0.7,0.4,16.9,0
Cocktail fructe Sweet Valley ,63,0.5,0.1,14,1.7
Cocltail fructe deshidratate Orlando's,267,3.4,0.7,85,0
Compot ananas,49,0,0,12.3,0.8
Compot ananas fara zahar Maxim's ,52,0.3,0.9,12.7,0.8
Compot ananas in suc slab indulcit Merve,62.3,0,0,12.1,1.4
Compot ananas rondele Maxim's,68.3,0.2,0.5,15.8,0.4
Compot ananas Royal Umbrella,57,0,0,14,1
Compot de ananas bucati Bitar,62.7,0.3,0.2,14.6,0
Compot de ananas Carrefour,71,0.3,0.4,16.5,0
Compot de ananas clasic Kaufland,63,0.3,0.1,14.9,1
Compot de ananas Cora,50,0,0,12,1
Compot de cirese Raureni,74.3,0,0,19.5,1.1
Compot de mere,85,0.3,0,20.2,2
Compot de pere,99,0.3,0,23.7,1.7
Compot de piersici 365,61,0.3,0,15,0
Compot de prune cu zahar,92,0.4,0,21.9,1
Compot de visine,90,0.6,0,20.8,1.4
Compot de visine Raureni,83.8,0.5,0,20.9,0.9
Compot din fructe de vara Yeo Valley,71,0.7,0.1,16.9,2
Compot mandarine Cody,61,0,0,16,0
Compot prune slab indulcit 365,63,0,0,16,1
Compot tropical ananas gold premium fara zahar Dole,65,0.4,0.1,15,1
Compot zmeura Kaufland,84,0.8,0,16.9,0
Conserva ananas bucati in sirop slab indulcit Nota 11,64,0.3,0.1,15.4,0
Conserva cocktail din 5 fructe Vitae D'Oro,68,0.6,0,15.9,0.4
Conserva de ananas bucati in sirop Victory,90,0,0,22,2
Corcoduse,27,0.2,0,6.4,1
Curmale (presate),286,2.4,0,73.8,7.1
Curmale deshidratate Domino,281,1.7,0.1,64.2,0
Curmale deshidratate Elmas,268,1.7,0.2,67,6
Curmale deshidratate fara samburi Carrefour,307,1.3,0.6,74,8
Curmale deshidratate fara samburi Fruit Orchard,307,1.3,0.6,74,8
Curmale deshidratate Oblio,314,2.5,0.4,75,8
Curmale deshidratate Orlando's,329,2.5,0.4,75,8.3
Curmale Extra Rabbi,317,2,0.6,75.8,8.2
Curmale fara samburi SanoVita,202,3.3,0.2,68,0
Curmale proaspete,282,2.5,0.4,75,8
Curmale San Diego,306,2.2,0.2,73,0
Curmale uscate confiate,286,2.4,0,73.8,7.1
Dude (Agude) proaspete,43,1.4,0.4,9.8,1.7
Dulceata de fructe asortate,252,1,0,60,3
"Dulceata de prune, natur",231,1.3,0,54,2
Dulceata zmeura 100% fructe Bonta d'Italia,157,0.9,0.2,38,2.9
Dulceata zmeura Maribel,242,0,0.1,58,2.4
Fragi,32,0.9,0.3,7.2,2
Fruct de cactus (Prickly pears),41,1,1,10,4
Fruct mix SanoVita,304,2.4,0.8,71.8,0
Fructe asortate,50,0.7,0,10,1.2
Fructe de padure Beerenmix Spar,32,1,0.5,6,4.4
Fructe de padure congelate,34,0,0,9.1,3.6
Fructe de padure congelate Golden Fruit,33,1.1,0.5,6.1,3.5
Fructe de padure congelate Pagnan,26,0.9,0.2,5.8,0
Fructe padure congelate Greens,36.7,1.2,0.4,7.1,3.5
Fructul pasiunii,97,2.2,0.7,23,0
Fulgi de cocos,474,3.3,32.2,47.6,4.3
Fulgi de cocos Alipende,688,16.2,66.6,6,0
Fulgi de cocos deshidratat Sanovita,632,6.3,65,7,0
Fulgi de cocos Hacendado,657,6.8,64.5,12.4,16.3
Fulgi de cocos Orlando's,376,3.3,33.5,16.2,9.9
Fulgi de cocos Stilla Natura,660,6.9,64.5,23.7,0
Fulgi de cocos Tesco,709,6.8,65.5,17.7,0
Gem de caise dietetic cu indulcitori Arovit,107,0.7,0.1,25.2,0
Gem de caise la borcan,267,0.4,0,64.5,3
Gem de caise light Duble Fruit,133.3,0.6,0,33.3,0
Gem de piersici la borcan,295,0.5,0,71.3,3.2
Gem de prune Sympatica,209,1.1,0.4,48.9,0
Gem de visine la borcan,292,0.4,0,70.3,4
Gem de zmeura la borcan,263,1.5,0,63.3,7.5
Gem fructe de padure dietetic cu indulcitor Arovit,98.6,0,0.1,25,0
Goji berries Sanovita,260.9,12,4.5,43,0
Goji Fruit Orchard,370,12,10,68,10
Goji uscate ,371,14.3,0,85.7,14.3
Goji uscate Solaris,344,12,0.7,57.8,7.8
Grapefruit,32,0.6,0.1,8.1,1.1
Grapefruit Florida Mega Image,35,0.6,0.1,9.6,0
Guava,68,2.6,1,14.3,5.4
Gutui,57,0.4,0.1,15,2
Kaki,70,0.6,0.2,18.6,3.6
Kiwano,25,1,0,3,1
Kiwi,61,1,1,15,3
Kumquat proaspat,71,1.9,0.9,15.9,1
Lamaie,29,1.1,0.3,9.3,2.8
Litchi proaspete,66,0.8,0.4,16.5,1.3
Litchi uscate,277,3.8,1.2,70.7,4.6
Lychee,66,0.8,0.4,16.5,1.3
"Macese, gem",242,0.5,0,58,3
Mandarine,53,0.8,0.3,13.3,1.8
Mango,65,0.5,0.3,17,1.8
Mango deshidratat,331,0.7,0.8,83.1,6.1
Mangosteen,73,0.4,0.6,17.9,1.8
Mar confiat,242,0.9,0.3,65.9,8.7
Mar crud fara coaja,48,0.3,0.1,12.8,1.3
Mar Golden,49,0,0,11.2,0.1
Mar Ionatan,52,0.4,0.2,13.8,2.4
Mar verde,51,0,0,12.7,1.3
Masline feliate,167,0,13.3,6.7,0
Masline kalamon,300,0,26.7,13.3,0
Masline light Zeyno,227,0,20,10,0
Masline mamut,150,0,13,10,0
Masline naturale Kalamata,300,0,26.7,13.3,5.2
Masline negre,115,0.8,10.7,6.3,3.2
Masline negre Alipende,134,0.5,16,0,0
Masline negre coapte Castella,233,0,20,13.3,0
Masline negre Cypressa,173,1.3,16.4,4.8,0
Masline negre Delphi,186,1.2,20,0.8,2
Masline negre in ulei Ece,31,0,3,1,0
Masline negre intregi DLL,166,1.1,13.7,9.6,0
Masline negre light Aro,115,0.8,10.7,6.3,3.2
Masline verzi,145,1,15.3,3.8,3.3
Masline verzi Aro,185,1.6,17.4,4.6,0
Masline verzi Delphi,172,1,18.7,1,2
Mere coapte,72.8,0,0,19.6,2.8
Mere Idared,47,0.4,0.1,11.8,1.8
Mere verzi Granny Smith,52,0,0,11.1,3.3
Merisoare confiate SanoVita,328,0.5,0.6,81,0
Merisoare deshidratate Mc Ennedy,320,0.1,0.5,82,0
Merisoare deshidratate Orchid,329,0,1,70,19
Minola,64,1,1,12,2
Mix de fructe confiate Carrefour,389,8.2,15,56,9
Mix de fructe uscate si nuci Royal Nut Kauffland Classic,505,10.3,35.6,31.7,7.3
Mix fructe confiate Schwartau,292,1,0,72,0
Mix fructe congelate Hortex,32,1,0.3,6.4,0
Mix fructe de padure Alfredo Foods,31,1.3,0.5,5.5,0
Mix fructe de padure Green Grocers Lidl,48,1.2,0.4,7.2,6.7
Mix fructe de padure Happy Food,26,1,0.1,5.6,0
Mix fructe Exotic Sanovita,310,6,17,68,1.5
Mure,43,1.4,0.5,9.6,5.3
Mure (congelate),37,1.6,0,6.4,5
Mure congelate rapid First Fruit,28,1.5,0.5,4.7,5
Nectarine,47,0.4,0,11.4,2
Nuca de cocos macinata Aldi R,657,6.8,64.5,12.4,16.3
Nuts and Fruits Mix Kauffland Classic,505,10.3,35.6,31.7,7.3
Papaia confiata Gardis,351,0.4,0,62.5,5
Papaya,39,0.6,0,9.8,1.8
Papaya confiat Sanovita,351,0.4,0.1,85,0
Papaya confiata,250,5,0,65,12.5
Pepene galben,34,0.8,0.2,8.2,0.9
Pepene verde (cu miez rosu),30,0.6,0.2,7.6,0.4
Pere,58,0.4,0.1,15.5,3.1
Pere chinezesti,42,0.5,0.2,10.7,3.6
Physalis proaspat (cirese de pamant),32,1,1,5.8,2
Piersici,39,0.9,0.3,9.5,1.5
Piersici (compot),80,0.5,0,21.2,1.3
Piersici (congelate),51,1,0,10.3,1.3
"Piersici decojite, semi-congelate",50,1.1,0,10.1,1
Pitahaya,60,2,2,9,1
Piure de castane (congelat),272,1,8,49,0
Pomelo,38,0.8,0,9.6,1
Portocale,47,0.9,0.1,11.8,2.4
Prune,59.7,0.7,0,13.1,2.1
Prune deshidratate Elmas,240,2,0.4,64,7
Prune deshidratate Gardis,254,2.5,0,61,0
Prune deshidratate Mega Image,282,2.2,0.4,63.9,7.1
Prune deshidratate Stilla Natura,243,2.8,0.7,74.6,0
Prune rosii,47,0.8,0,11.4,1.4
Prune uscate,240,2.2,0.4,63.9,7.1
Prune uscate Clever,254,2.2,0.4,57,7.1
Prune uscate Sanovita,190,2.3,0.4,44,0
Revent,17,0.6,0.1,3.3,1.3
