 Smantana de casa 25% Angst,244,1.2,25,3.6,0
Ayran,51.6,2.9,2.8,0,0
"Ayran 1,5% Big Panda",27.5,1.5,1.5,2,0
"Ayran 2,2% Pilos",34.2,1.5,2.2,2.1,0
Ayran Sarikiz,18.5,1.5,0.5,2,0
Bautura din orez Alpro,61,0.2,1.2,12.2,0
Branza 10% Cottage natur Spar,85,12.7,2.2,3,0.1
Branza Burgo De Arias,186,11.3,14.2,3.2,0
Branza Caciotta Kremina Inalpi,323,20,27,0,0
Branza crescenza,281,16.1,23.3,1.9,0
Branza de capra President,315,18,27,0,0
Branza de vaci 4% Gurmanika,108,16,4,2,0
"Branza dietetica 0,1% Metro Quality",69,17,0.1,2,0
Branza feta Yalos,258,16.5,21,0.7,0
Branza mascarpone Granarolo,395,3.2,41.5,2.2,0
Branza mascarpone Sainsbury's,412,3.6,42,4.9,0
Branza mozzarella Campana Metro,278,17,23,0.5,0
Branza mozzarella Fidel,240,17,18.5,1.3,0
Branza proaspata de vaca Monor,98.1,17.2,1.2,4,0
Branza proaspata K Classic,133,15.5,5,6.5,0
"Branza proaspata slaba 4,4% de vaca Clever",97,10.8,4.4,3.6,0
Branza ricotta 9% Sterilgarda,134,10,9,3.2,0
Branza topita Armonie JLC,196,20,12,2,0
Branza topita chedder K-Classic,283,14,23,0,0
Branza topita cu smantana Fine Food,277,8,25,5.8,0
Branzica dulce 4% Mic-vis JLC,172,17.6,4,16.4,0
Budinca cu gust de ciocolata cu 30% budinca cu gust de vanilie Paula Dr. Oetker,116,3.1,3.9,16.8,0.5
Budinca din lapte Milli Mia,113,3,19,2.7,0
Cascaval afumat Borcea,250,18,14,13,0
Cascaval afumat Bradet Gordon,316,26.5,22,0.6,0
Cascaval Galereux,327,26.5,25.5,0,0
Cascaval Galereux Lidl,327,26.5,25.5,0.7,0
Cascaval Hochland Light,236,18,18,0.5,0
Cascaval Morskam,334,25,26,0.1,0
Cascaval organic Tesco,420,25.4,34.9,0.1,0
Chefir 0% Lactonia,27.2,3,0,3.8,0
Chefir degresat 0% JLC,32,3,0,5,0
Ciocolata extra cocoa Milka,545,8.6,36,45.5,5.8
Crema branza creme fraiche de Normandie Vrai,363,2.1,38,3.1,0
Crema cu unt Sole clasic,252,2.5,25,3.2,0
Crema de iaurt,80,3.4,5,4.6,0
Crema de iaurt 3% Big Panda,57,3,3,4,0
Crema de iaurt 5% Brenac,90.2,6.4,5,4.9,0
Crema de iaurt Activia Danone,70,4.4,3.4,5.4,0
Crema de iaurt cu cafea Muller,116,4.4,4,14.8,0
Crema de iaurt cu Chantilly Muller,125,4.1,3.7,18.1,0
Crema de iaurt cu fructe Muller,111,3,3.6,16,0
Crema de iaurt Labneh,83,3,7,1,0
Crema de lapte,327,8.5,7,55.5,0
Crema iaurt Milli,83,3.1,6,4.1,0
Creme de branza fraiche Spar,308,2.3,32,2.3,0.2
Desert iaurt cu caise Paula Dr. Oetker,107,2.9,3.6,15.4,0.3
Desert orez cu lapte si cirese Muller,108,3,2.2,18.8,0
Fagaras usor 3% Covalact,86,12.2,3,2.5,0
Frisca batuta,302,2.6,30,3,0
Frisca batuta President,238,2.5,20,12,0
Frisca indulcita,297,2.3,26,11,0
Frisca lichida,208.8,3.3,20,3.9,0
Frisca lichida 32% Alnatura,310,2.3,32,3.2,0
Frisca lichida Alipende,331,1.8,35,2.3,0
Frisca lichida light 18% Alipende,186,2.5,18,3.5,0
Frisca pe baza de lapte degresat Spray Creme Lidl,240,3.1,20,12,0
Frisca pentru cafea Clever,118,2.8,10,4.2,0
Frisca pentru gatit Gran Cucina,251,3.1,23,8,0
Frisca UHT 365 Mega Image,290,2.5,26,11,0
Frisca vegetala fara zahar Hulala,216,0.7,23,1.8,0
Frisca vegetala la tub Hulala,249,1,24,7.2,0
Iaur cu kiwi bifidus Alipende,55,4.2,0.1,9.2,0.2
"Iaurt  0,1% cu cirese Linessa Lidl",79,3.9,0.1,13,0
"Iaurt  0,4% Vitalinea Pro Danone",67,7.8,0.4,7,0.7
"Iaurt  2,8% Covalact",55,3.4,2.8,4,0
Iaurt  3% Albalact,58,3.4,3,4.5,0
Iaurt  6% cu fructe de padure Monor,142,5,6,16,0
"Iaurt  zmeura 3,2% Bio Delhaize",99,3.7,3.2,12.9,0
Iaurt 0% Bifidus Prodlacta,42,4.4,0,6.2,0
Iaurt 0% cu cereale Tnuva,61,4.6,0.4,4.4,0.5
Iaurt 0% Danone Silhouette,40,4,0,7,0
Iaurt 0% Vdegresat Vio,32,4,0,3.9,0
"Iaurt 0,1 % Sim",32,3.7,0.1,4.1,0
"Iaurt 0,1%",32.9,3.4,0.1,4.6,0
"Iaurt 0,1% Auchan",31.7,3.2,0.1,4.5,0
"Iaurt 0,1% Bianco",70,5.6,0.1,10.8,0
"Iaurt 0,1% bifidus cu musli si fibre Delhaize",45,4.6,0.1,6.2,0.9
"Iaurt 0,1% capsuni Activia Danone",46,4.1,0.1,7.1,0
"Iaurt 0,1% cu ananas Activia Danone",47,4.1,0.1,7.4,0
"Iaurt 0,1% cu cereale Zuzu",76,3.7,0.3,15.3,0.7
"Iaurt 0,1% cu fructul pasiunii Danone",75.6,8.2,0.1,11.9,0.1
"Iaurt 0,1% cu piersici si maracuja light Campina",80,4,0.1,15.5,0
"Iaurt 0,1% cu prune bifidus Alipende",59,4.2,0.1,9.7,1
"Iaurt 0,1% Fit Vital Diet Ehrmann",49,3.5,0.1,8.5,1
"Iaurt 0,1% Milli",32,3.6,0.1,4,0
"Iaurt 0,1% Monor",32.5,3.2,0.1,4.6,0
"Iaurt 0,1% Muller Bianco",70,5.6,0.1,10.8,0
"Iaurt 0,1% Muller Light",51,4.2,0.1,7.8,0
"Iaurt 0,1% NutriDay Danone",31,3.6,0.1,3.9,0
"Iaurt 0,1% Pilos",34,3.6,0.1,4.6,0
"Iaurt 0,1% Ulcica Brenac",38,4.8,0.1,4.5,0
"Iaurt 0,1% visina racoricioasa Yoplait Tnuva",74,4.8,0.1,14.2,1.2
"Iaurt 0,1% Vitalinea Danone",38,4.1,0.1,4.4,0
"Iaurt 0,1% Vranlact",26,3.2,0.1,3,0
"Iaurt 0,1% zmeura Actimel Danone",29,2.7,0.1,3.7,0.5
"Iaurt 0,2% Ehrmann",57,9.8,0.2,4.1,0.1
"Iaurt 0,3% bifidus Dia",36,4.1,0.3,4.9,0
"Iaurt 0,4% Activia Natural Danone",41,4.1,0.4,4.5,0
"Iaurt 0,5% light Activia Danone",37,4.3,0.5,4.9,0
"Iaurt 0,8% cu rodie si zmeura Activia Danone",63,2.9,0.8,11,0.4
"Iaurt 0,8% de baut caise Activia Danone",68,2.9,0.8,12.6,0.8
Iaurt 0.1% Activia Mic Dejun extra cereale Danone,77,4.9,0.2,13.8,0
Iaurt 0.8% de baut cu fibre Activia Danone,61,2.9,0.8,10.8,1.3
Iaurt 1% Arla,50,5.5,1,3.5,1
Iaurt 1% Delisio,46,3.8,1,5.3,0
"Iaurt 1,1% cu visine Jogobella Zott",60,4,1.1,8.4,0
"Iaurt 1,3% cu mure si piersici Milbona",94,3.6,1.3,15.8,0.3
"Iaurt 1,4% Casa Buna Danone",71,2.7,1.4,12,0
"Iaurt 1,4% cu banane Crema di Frutta Muller",96,4.1,1.4,15.9,0
"Iaurt 1,5% Actimel Zmeura",74,2.9,1.5,11.5,0
"Iaurt 1,5% bio Irma",45,4,1.5,3.5,0
"Iaurt 1,5% cu musli si piersici Premio Unicarm",85,2.9,1.5,15,0
"Iaurt 1,5% Mariuca",47,3.8,1.5,4.6,0
"Iaurt 1,8% cu fibre Tnuva Slim Danone",48,3.7,1.8,3.5,1.5
"Iaurt 1,8% cu visine Monor",103,5,1.8,16,0
"Iaurt 1,8% cu visine Monor",103,5,1.8,16,0
"Iaurt 1,8% Gusturi Romanesti",45.9,3.1,1.8,4,0
Iaurt 10.9% grecesc Hacendado,123,4.1,10.9,2.1,0
Iaurt 2%  Nutriday Danone,47,3.5,2,3.7,0
Iaurt 2% Helvetica,51,3.7,2,4.6,0
Iaurt 2% Oke,47,3.3,2,4,0
Iaurt 2% Premio Unicarm,48,3.3,2,4.1,0
Iaurt 2% probiotic Dar,48.8,3.2,2,4,0
