 Legume congelate si condimente China D'aucy,31,1.6,0.3,4,4
 Legume pt preparare la tigaie Traditional Vita Star,118,2.7,2.2,21.7,0
Amestec de 8 legume Uncle Statis,42.9,1.6,0.2,9.3,3
Amestec de legume congelate cu orez Hortex,66,2.4,0.3,13.3,0
Amestec de legume congelate Fitness Premium Iglo,26,2.3,0.2,3.7,0
Amestec de legume congelate Mexican Style Green Grocer's,87,2.1,5.3,6.4,0
Amestec de legume cu orez Gradena,62,2.2,0.4,12.1,0
Amestec de legume cu unt Green Gold Plus,103,2.9,6.1,9,0
Amestec de legume de gradina congelate Casa Taraneasca,55,3,0.1,11.2,1
Amestec de legume de vara Iglo,37,1.7,0.3,6.9,0
Amestec de legume Italian style Green Grocer's,45,2.1,2.3,3.3,0
Amestec de legume macedonean Bonduelle,43,2.2,0.3,7.9,0
Amestec de legume macedonean Delhaize,30,2.1,0.3,4.4,3.9
Amestec de legume macedonean Mega Image,45,2.4,0.2,8.4,3
Amestec de legume mexican cu orez Casa Taraneasca,169,5,1.1,36.8,1
Amestec de legume mexican Hortex,56,3.6,0.4,7.5,2
Amestec de legume Minestrone Dujardin,38,2.1,0.2,7.1,2.9
Amestec de legume pentru bors romanesc Casa Taraneasca,20,1.3,0.2,3.4,0
Amestec de legume pentru ciorba Minestrone Greens,42,2.1,0.2,8,0
Amestec de legume pentru ciorba vita Casa Taraneasca,51,2.5,0.1,10.7,0
Amestec de legume pentru salata boeuf Casa Taraneasca,56,2.2,0.1,12.1,0
Amestec de legume pentrut ciorba Emborg,20,1.6,0.1,3.2,0
Amestec de legume Vita Star,53,3.6,0.5,8.4,0
Amestec de legume Wok Chinese Findus,40,0.9,0.4,3.5,3
Amestec de vara Dujardin,31,2.3,0.2,5,3.5
Amestec Hawaii mix Dujardin,98,3.9,0.5,19.6,3.3
Amestec leguma de toamna Autumn Soup Icefield ,34,2.5,3.7,0.3,0
Amestec legume caraibean Frosta,42,1.7,0.9,5.7,0
Amestec legume congelate Vip Hortex,33,1.9,0.4,5.4,0.8
Amestec legume Country Mix,28,1.8,0.1,3.3,2.8
Amestec legume Country Vita Star,99,1.7,4.8,12.3,0
Amestec legume cu porumb Dujardin,59,3.1,0.5,8.3,4.4
Amestec legume de gradina Carrefour,55,3,0,11.2,5
Amestec legume de primavara Hortex,30,2.8,0.3,4,0.8
Amestec legume gradinaresc Iglo,67,3.4,0.4,12.1,0
Amestec legume mediteranean Iglo,27,2,0.1,4.4,0
Amestec legume oriental style Green Grocer's Lidl,55,2,2.7,4.2,0
Amestec legume pentru ghiveci LegoFruct,34.1,1.6,0.3,5.9,0
Amestec legume pentru supa Edenia,29,1.7,0.2,3.4,3.5
Amestec legume pt ciorbe Vita Star,26,2.1,0.2,3.9,0
Amestec legume stir fry Dujardin,64,2.6,0.3,11.4,2.8
Amestec legume supa K-classic,32,1.2,0.6,4.2,0
Amestec mexican  3 legume Dujardin,72,5.2,0.6,11.4,5.8
Amestec mexican congelat Casa Taraneasca,46,2.8,0.2,8.8,0
Amestec mexican cu ciuperci champignon Hortex,97,3.6,0.5,19.2,0
Amestec mexican de legume Carrefour,46,2.8,0.2,8.8,5
Amestec mexican de legume congelate Winny,46,2.8,0.2,8.8,0
Amestec mexican de legume Gradena,46,2.4,0.5,7.9,0
Amestec mexican de legume No. 1,52,2.4,0.5,7.9,3.2
Amestec mexican de legume Vitae D'oro,72.5,3.4,1.5,9.4,3.9
Amestec mexican Dujardin,50,2.5,0.4,7.3,3.8
Amestec mexican Edenia,50,2.5,0.4,9.2,3.8
Amestec mexican Gradina cu Soare,51,2.5,0.4,10.7,3
Amestec mexican LegoFruct,61.7,3.2,0.5,10.3,0
Amestec mexican Prima,20,3,0,2,0
Amestec mexican Tiko,46,2.4,0.5,7.9,0
