Baton cereale Corny Activ,1,1,1,0,0,349,7.1,13.7,46.1,16.8
Baton cereale cu cacao Winny,1,1,1,0,0,389,7,6.8,74,3.2
Baton cereale cu ciocolata Aptonia,1,1,1,0,0,424,7,14,67.5,5.2
Baton cereale cu ciocolata fara zahar Corny,1,1,1,0,0,325,6.4,10.4,66.3,3.3
Baton cereale cu ciocolata Nestle Fitness,1,1,1,0,0,393,5.8,3.9,70.7,4.3
Baton cereale cu fructe rosii Aptonia,1,1,1,0,0,389,5.3,8.9,71.8,4.2
Baton cereale cu mere si pere Stilla Fitness,1,1,1,0,0,350,7.2,5,72,0
Baton cereale cu piersici si caise Stilla Fitness,1,1,1,0,0,339,6.3,5,70,0
Baton cereale integrale cu fructe tropicale si iaurt Rommac,1,1,1,0,0,321,6,2,77,10
Baton cereale Lion Nestle,1,1,1,0,0,402,8.3,5.6,77.2,4.8
Baton cereale si cacao Mulino Bianco,1,1,1,0,0,447,7.5,19,61.5,7.5
Baton cereale Special K,1,1,1,0,0,383,8,5,77,2
Baton cereale Winny,1,1,1,0,0,396,5.9,7.2,76,3
Baton cu cereale miere si seminte Rommac,1,1,1,0,0,389,6.1,4.8,80,3
Baton cu cereale  miere  mere si caise Rommac,1,1,1,0,0,384,7.8,3.5,80.5,2.5
Baton cu cereale  miere  visine si catina Rommac,1,1,1,0,0,381,5.9,4.6,80,3
Baton cu ciocolata si musli crocant Hahne,1,1,1,0,0,423,9.2,15.3,58.4,7.7
Baton cu muesli si caise FirstNice,1,1,1,0,0,374,4.3,7.7,71,0
Baton cu musli si alune Big Free Corny,1,1,1,0,0,345,11.9,6.9,64.8,0
Baton cu musli si alune de padure Crip Crop,1,1,1,0,0,393,6.9,14.4,61.8,0
Baton cu musli si alune Fit & Activ Riegel,1,1,1,0,0,406,9.2,15.2,58,8
Baton cu musli  banana si ciocolata Crip Crop Crunchy,1,1,1,0,0,442,8,18,62,0
Baton cu musli  caise si iaurt FirstNice,1,1,1,0,0,396,4.6,15.3,60,0
Baton cu ovaz si fructe Activ Bar Rommac,1,1,1,0,0,321,6,2,77,10
Baton cu rez  porumb  susan expandate Nias,1,1,1,0,0,376,8.7,0.5,84.7,0
Baton de cereale ciocolata si coji de portocale Fitness Nestle,1,1,1,0,0,374,5.1,5.2,73.4,4
Baton de cereale fitness cu alune Stilla Fitness,1,1,1,0,0,358,7.6,11,65.6,0
Baton de cereale Fitness Nestle,1,1,1,0,0,382,5.1,7,74.8,13.4
Baton de cereale Morning Sun,1,1,1,0,0,445,4.9,19.8,61.9,4.4
Baton de cereale si capsuni Fitness Nestle,1,1,1,0,0,391,5.4,7.1,70.1,4.3
Baton de musli cu ciocolata Musli-Riegel Fit & Activ Plus,1,1,1,0,0,444,8.4,18,62,0
Baton de susan cu miere Rommac,1,1,1,0,0,524,13.5,30,50,4.8
Baton musli cereale si visine Nestle,1,1,1,0,0,382,5.8,7.2,67,4.5
Baton musli ciocolata stafide Nestle,1,1,1,0,0,401,5.6,9.8,70.4,0
Baton musli cu afine in glazura de iaurt Stilla Natura,1,1,1,0,0,350,4.9,11.3,60.2,0
Baton musli cu fructe de padure si glazura de iaurt Crip Crop,1,1,1,0,0,405,5.3,14.5,66.2,0
Baton musli cu merisoare de padure  zmeura cu glazura de iaurt Crip Crop,1,1,1,0,0,405,5.3,14.5,66.3,0
Baton musli cu zmeura First Nice,1,1,1,0,0,367,6.9,5.5,71.9,5
Baton musli lime si ciocolata Galaxy,1,1,1,0,0,417,6.9,17.6,58.6,5.5
Batonase hipoglucidice Dobrogea Group,1,1,1,0,0,110,3.8,1.3,20,0
Bautura din hrisca Bio Grano,1,1,1,0,0,57,0.6,1.5,10.2,0.5
Biscuiti  Maria integral Gullon,1,1,1,0,0,429,8,12,73.3,4.7
Biscuiti bogati in fibre Sunny Bisk Bokomo,1,1,1,0,0,353,13.1,1.6,77.2,12.6
Biscuiti Classico Grancereale Mulino Bianco,1,1,1,0,0,460,8,19.9,56.6,11
Biscuiti cu cereale integrale  stafide si visine Fit Ulpio ,1,1,1,0,0,427,7.6,15.2,61.6,3
Biscuiti cu susan si mac Croco Mix,1,1,1,0,0,470,26,12,61,0
Biscuiti digestivi cu prune  smochine si stafide ETI Burcak,1,1,1,0,0,417,8.4,19.4,52.2,11
biscuiti digestivi din faina integrala cu fulgi de ovaz  grau si chipsuri de ciocolata neagra Gullon,1,1,1,0,0,483,8.9,21.9,59.6,5.5
Biscuiti digestivi ETi Burcak,1,1,1,0,0,450,7,18,71,12
Biscuiti digestivi Gullon,1,1,1,0,0,480,6.9,21.3,65.2,2.6
Biscuiti digestivi Viva,1,1,1,0,0,451,7,19,63,7
Biscuiti fara sare si fara zahar adaugat  cu indulcitori Ligera Gullon,1,1,1,0,0,406,9.3,12.7,55.8,18.2
Biscuiti fara zahar bogati in fibre Korpovit,1,1,1,0,0,375,15.4,12.7,49.7,16
Biscuiti fara zahar Gullon,1,1,1,0,0,375,11.3,12.8,53.8,18.2
Biscuiti Frutta Mulino Bianco Grancereale,1,1,1,0,0,457,7.5,19.5,57.4,11
Biscuiti graham Baragan,1,1,1,0,0,350.5,14.1,9.3,52.6,0
Biscuiti Nutri-Grain Kelloggs,1,1,1,0,0,429,8.5,15,59,13
Biscuiti ovaz Ikea,1,1,1,0,0,496,4.8,24,62,0
Biscuiti petit biscotti Secchi,1,1,1,0,0,439,8.4,11.7,74.9,2.6
Biscuiti Salatini,1,1,1,0,0,490,8,25,61,1.4
Biscuti cu cereale Hipofita Plevnei,1,1,1,0,0,294,0,0,0,0
Biscuti cu cereale  lapte si stafide Tismana,1,1,1,0,0,455,7.1,18.2,70.5,9.3
Briosa,1,1,1,0,0,346,9.5,7.5,57.8,3.2
 Baton de ciocolata Chunky Kit Kat,1,1,1,0,0,525,5.4,28.8,61.2,0
 Biscuiti cu crema de frisca Ulpio,1,1,1,0,0,464.6,22.5,18.9,50,0
 Fursecuri de casa cu nuci ,1,1,1,0,0,557.5,16.5,51.7,11.5,5
 Inghetata de ciocoalta Minuto Betty Ice  ,1,1,1,0,0,123,1.5,3,22.7,0
Acadea pe bat,1,1,1,0,0,392,0,0,100,0
Alunite umplute cu crema de capsuni Olla,1,1,1,0,0,463,7,19,66,3
Aluntie umplute cu crema de vanilie Olla,1,1,1,0,0,469,7,19,66,3
Amandina,1,1,1,0,0,243.6,6,9.3,35.1,0.8
Arahide in ciocolata Big Ben,1,1,1,0,0,503,7.4,24,62,2.3
Arahide in ciocolata Clickos,1,1,1,0,0,492,7.8,25,59,0
Baclava,1,1,1,0,0,490,5,36,36,0
Baclava Tatlici Safa ,1,1,1,0,0,398,4.6,17.7,56.3,1.3
Banane de ciocolata Bella,1,1,1,0,0,383,1.8,11.3,67.9,2.8
Batoane dietetice caramel Gerlinea,1,1,1,0,0,382.3,24.7,11,46.9,4.7
Batoane dietetice ciocolata Gerlinea,1,1,1,0,0,382.3,25,11.1,46.5,4.8
Batoane dietetice cu caramel Gerlinea (Spania),1,1,1,0,0,322,35,6.7,29.1,15.1
Batoane dietetice cu ciocolata Gerlinea (Spania),1,1,1,0,0,323,35,6.8,29.1,14.7
Batoane dietetice cu menta si ciocolata Gerlinea,1,1,1,0,0,335,25.3,8.3,33.7,22.4
Batoane proteice  cu ciocolata si portocale Gerlinea,1,1,1,0,0,404,23,15,45.7,5.2
Batoane proteice cu ciocolata alba Gerlinea,1,1,1,0,0,395,22.9,14.1,45.6,6.9
Baton caramel Shapers Crispy,1,1,1,0,0,345,3.4,12,76,0.4
Baton cereale cu ciocolata Chocapic,1,1,1,0,0,415,7.5,13.5,65.7,2.9
Baton ciocolata alba cu alune de padure si stafide Heidi,1,1,1,0,0,443,6.6,29.3,38.8,0
Baton ciocolata Albeni,1,1,1,0,0,486,3.9,26.3,58.4,0
Baton ciocolata Ani Brawo Desire,1,1,1,0,0,467,5.6,21.6,77.6,0
Baton ciocolata caramel,1,1,1,0,0,416,4.5,14,68,0
Baton ciocolata cocos Delicii Poiana,1,1,1,0,0,465,2.9,20.5,67.5,1.1
Baton ciocolata cu alune hazelnutz Heidi,1,1,1,0,0,552,6.3,35.5,51.8,2.3
Baton ciocolata cu alune Smash,1,1,1,0,0,472.1,9.9,26.4,48.8,0
Baton ciocolata cu arahide Poiana Delicii,1,1,1,0,0,500,9,28,53,0
Baton ciocolata cu branza dulce Dots Nature,1,1,1,0,0,357,9.9,17.7,39.6,0
Baton ciocolata cu branza dulce Dots Nature Dark,1,1,1,0,0,364.4,9.5,18.7,38.2,0
Baton ciocolata cu caramel  alune si glazura Dots Boom,1,1,1,0,0,396,7.5,20.8,44.5,0
Baton ciocolata cu stafide si rom Fagaras cel mare,1,1,1,0,0,440,2.5,61.5,19,0
Baton ciocolata Hematogen Ekzon,1,1,1,0,0,390,6.5,4,82,0
Baton ciocolata Mars Delight,1,1,1,0,0,548,5.3,32.7,58,0
Baton ciocolata nuga caramel Kliovo,1,1,1,0,0,444,3.7,18,70,0
Baton ciocolata Rom Autentic Tricolor (1964),1,1,1,0,0,500,3.3,22.8,66.3,0
Baton ciocolata Snickers Dark,1,1,1,0,0,490,9.2,24.8,56.5,1.9
Baton cu alune 60% Stilla,1,1,1,0,0,488,15.4,33.3,41,0
Baton cu cereale fara zahar Corny,1,1,1,0,0,333,6.3,10.5,66.3,3.3
Baton cu cereale si ciocolata Bio All Green,1,1,1,0,0,386,6,8,71,3
Baton cu ciocolata alba,1,1,1,0,0,498,5.1,24.6,64.2,0
