Aperitiv vegetal cu naut Velicia,0,1,1,0,0,320,10.3,29.8,2.6,0,
Baton vegetal Inedit,1,1,1,0,0,225,11.3,18.6,3.2,1.8,
Burger vegetarian Cris-Tim,0,1,1,0,0,210,15,15,5,0,
Cascaval vegetal Edam Vian,1,1,1,1,0,334,25,26,0.1,0,
Cascaval vegetal Forma,1,1,1,1,0,320,8,28,10,0,
Crenvursti vegetali afumati in saramura Inedit,1,1,1,1,0,128,18.8,5.2,1.6,0,
Crenvursti vegetali Cris-Tim,1,1,1,1,0,223.4,13.3,14.4,10.1,0,
Crenvursti vegetali Inedit,1,1,1,1,0,133.4,9.9,8.9,2.1,0,
Hummus Durra,1,1,1,0,0,300,9.6,19.7,21,0.6,
Hummus Mandy,1,1,1,0,0,194,5.4,9.7,21.3,0,
Humus,1,1,1,0,0,177,4.9,8.6,20.1,4,
Humus Chtaura,1,1,1,0,0,142,6,6.5,15,1.3,
Humus Danielas,1,1,1,0,0,262,6.1,17.7,17.5,0,
Humus Olympia,1,1,1,0,0,90,5.6,2.1,12.4,0,
Iaurt soia cu fructe exotice Savia Danone,1,0,1,0,0,80.8,2.9,1.7,12.7,0,
Iaurt soia Savia Danone,1,0,1,0,0,101,3.6,2.1,15.9,0.3,
Inlocuitor branza Viotros Violife,1,0,1,0,0,130,21,3,4,0,
Hamburger din soia Savor ,0,1,1,0,0,145,14,3,14,0,
Parizer vegetal cu legume Cris-Tim,1,1,1,0,0,216.6,10.4,14.7,10.7,0,
Masline verzi umplute cu ardei Alipende,1,1,1,0,1,163,1.9,16,0,0,
Pate vegetal ardei gras Mandy,1,0,1,0,0,276,3,27.5,5,0,
Pate vegetal Bucegi,1,0,1,0,0,243,3.7,24.3,2.3,0,
Pate vegetal ciuperci  Mandy,1,0,1,0,0,264,2.5,25.6,6.4,0,
Pate vegetal cu ardei Baroni Lidl,1,0,1,0,0,170,3,13,10,5,
Pate vegetal cu ardei Sibiu,1,0,1,0,0,278,5.3,24.6,8.8,2.1,
Pate vegetal cu ciuperci Hame,1,0,1,0,0,255,3.6,26,3.7,0,
Pate vegetal cu ciuperci si masline Kosarom,1,0,1,0,0,253.4,5,24.6,3,0,
Pate vegetal cu ciuperci Sibiu,1,0,1,0,0,217,11.1,17.3,4.2,0,
Pate vegetal cu spanac Sibiu,1,0,1,0,0,286,5.1,29.2,0.7,0,
Pate vegetal masline Mandy,1,0,1,0,0,286,2.3,28.9,4.7,0,
Pate vegetal Meniu,1,0,1,0,0,234,7,20.5,5.5,0,
Salam vegetal cu ardei Cris-Tim,1,0,1,0,0,158.5,12.8,6.5,12.2,0,
Salam vegetal cu ciuperci Cris-Tim,1,0,1,0,0,158.5,12.8,6.5,12.2,0,
Salam vegetal cu masline Cris-Tim,1,0,1,0,0,158.5,12.8,6.5,12.2,0,
Salam vegetal Fito-Fitt,1,0,1,0,0,150,18,6,8,0,
Salata ardei capia cu usturoi Mega Image,1,0,1,0,0,69,1.1,4.5,5.7,1.7,
Salata de humus cu boia Vernada,1,1,1,0,0,280,5.8,21,18.4,17.7,
Salata de vinete cu ceapa 365 Mega Image,1,1,1,0,0,78,3,3.5,8.4,2.5,
Salata de vinete cu maioneza 365 Mega Image,1,1,1,0,0,192,6.5,19.1,4.5,2.5,
Salata de vinete si ardei copti Toppo,1,1,1,0,0,70.7,1.1,6.3,2.4,0,
Salata de vinete Vico Delicatessen,1,1,1,0,0,61,2.6,3.5,4.8,0,
Salata humus Mega Image,1,1,1,0,0,115,6.5,4.2,14.4,3.4,
Salata humus Vico,1,1,1,0,0,188,2.8,17.5,5,0,
Salata mediteraneana Sandwich Time,1,1,1,0,0,109,3.3,7.4,10,1.4,
