Antricot de vita,0,1,1,1,0,236,17.4,18.5,0,0
Antricot porc la cuptor,0,1,1,1,0,179,17.9,11.6,0,0
Aripi de pui fara piele gatite,0,1,1,1,0,203,30.5,8.1,0,0
Bacon crud Dulano,1,1,1,0,0,268,16,22,1,0
Carne porc muschi file fript,0,1,1,1,0,147,26,4,0,0
Ceafa de porc gatita,0,1,1,1,0,231,23.7,14.3,0,0
Ceafa de vita,0,1,1,1,0,180,20,11,0,0
Cotlet de porc,0,1,1,1,0,155,21.6,7,0,0
Ficat de pui fript,0,1,1,1,0,172,25.8,6.4,1.1,0
Gordon Bleu de pui Savor,0,1,1,1,0,200,15,8,16,0
Pate de ficat,1,0,1,0,0,324,15.9,27.7,0.3,0
Piept de curcan fara piele gatit,0,1,1,1,0,135,30.1,0.7,0,0
Piept de pui gatit fara piele,0,1,1,1,0,151,29,3,0,0
Rata  friptura,0,1,1,1,0,201,24,11,0,0
Sunca proaspata,1,0,1,0,0,157,22.6,7.1,0.4,0
Bacon afumat Carrefour,1,0,1,0,0,412,12,40,1,0.4
Caltabos,1,0,1,0,0,307,14,23,8.7,0
Carnati afumati,1,1,1,0,0,301,15.5,25.4,0.3,0
Crenvursti,1,1,1,0,0,238,12.5,20,0.2,0
Jambon light Ifantis,1,0,1,0,0,90,17.5,2,1,0
Kaizer,1,0,1,0,0,303,26,21,0,0
Muschi Azuga CrisTim,1,0,1,0,0,119.3,20.3,3.9,0.8,0
Parizer,1,0,1,0,0,219,11.9,18.2,0.2,0
Pastrama de porc,1,0,1,0,0,152,17.9,6.7,0,0
Piept pui Carre Carniprod,1,0,1,0,0,191.4,18,13,0.6,0
Salam Alpinia,1,0,1,0,0,306.2,14,26.8,2.1,0
Salam uscat,1,0,1,0,0,532,25.1,46.1,0.3,0
Sunca afumata Angst,1,0,1,0,0,96,19,1.7,1.3,0
Batoane de peste Fish Fingers Frosta,0,1,1,1,0,230,13.7,9.9,21.2,0.8
Calamar,0,1,1,1,0,92,15.6,1.4,3.1,0
Cod,0,1,1,1,0,107,24,1,0,0
Conserva de ton bucati in suc propriu 365,1,1,1,0,0,101,25,0.1,0,0
Crap,0,1,1,1,0,127,17.8,5.6,0,0
Icre crap,0,1,1,0,0,130,25,3,0,0
Pangasius,0,1,1,1,0,90,13,4,0,0
Pastrav gatit,0,1,1,1,0,190,26.6,8.5,0,0
Salau gatit,0,1,1,1,0,117,24.9,1.2,0,0
Somon,0,1,1,1,0,142,19.9,6.3,0.2,0
Stiuca,0,1,1,1,0,88,19.3,0.7,0,0
Stridii,0,1,1,1,0,59,5.2,1.6,5.5,0
Bulete din piept curcan umplut pane Saga in cuptor,0,1,1,1,0,145,12,19,14,0
Cordon bleu de pui Carrefour,0,1,1,1,0,216,15.5,11.6,12.3,0
Cordon bleu din sunca de curcan si cascaval Saga la cuptor,0,1,1,1,0,296,12,22,12.5,0
Lasagna cu carne tocata de vita si sos,0,1,1,0,0,127,8.3,4.7,12.9,1.2
Lasagne alla Bolognese Buitoni,0,1,1,0,0,136,5.3,6.8,12.9,0.8
Mancare indiana cu orez si pui Frosta,0,1,1,0,0,113,6.1,3.9,13.4,0
Nuggets pui Sadia,0,1,1,1,0,319,18,19,19,0
Pate tartinabil Picnic Carniprod,1,0,1,0,0,243,13,21,0,0
Penne cu carne Heinz,0,1,1,0,0,62,3.1,0.9,10.3,0
Porc acru-dulce chinezesc,0,1,1,1,0,366,17,27,15,3
Sarmalute cu foi de vita La Grande Famiglia,0,1,1,0,0,169,2,13,16,0
Snitel din piept de pui Ella Bella Transavia la cuptor,0,1,1,1,0,205,14,9.5,14.2,0
Tortellini cu carne Casa Cecconi,0,1,1,0,0,304,10.3,5.9,52.3,0
Tortillas cu pui  rosii si cascaval Maheso,0,1,1,0,0,157,9.7,6.8,14.2,0
