Burger vegetarian Cris-Tim,0,1,1,0,0,210,15,15,5,0
Cascaval vegetal Edam Vian,1,1,1,1,0,334,25,26,0.1,0
Crenvursti vegetali Inedit,1,1,1,1,0,133.4,9.9,8.9,2.1,0
Humus,1,1,1,0,0,177,4.9,8.6,20.1,4
Parizer vegetal cu legume Cris-Tim,1,1,1,0,0,216.6,10.4,14.7,10.7,0
Pate vegetal Bucegi,1,0,1,0,0,243,3.7,24.3,2.3,0
Salam vegetal Fito-Fitt,1,0,1,0,0,150,18,6,8,0
Salata mediteraneana Sandwich Time,1,1,1,0,0,109,3.3,7.4,10,1.4
Salata tzatziki Vico Delicatessen,1,1,1,0,0,170,2.9,15.1,5.7,0
Snitel vegetal Agricola,0,1,1,1,0,145,14,3,14,0
Snitel vegetal Baroni Lidl,0,1,1,1,0,138.8,0,0,0,0
Bruschete cu rosii masline si oregano Maretti,1,1,1,0,0,465.1,9.1,20,62.2,0
Conserva de salata vinete libaneza Darinne,1,1,1,0,0,106,3.5,3.7,15,1.2
Crochete cu susan si mac  Arcada,0,1,1,1,0,362,7,16,45,0
Crochete vegetale din soia Inedit,0,1,1,1,0,91.5,7.1,3.2,8.3,0
Crochete vegetale in sos tomat Inedit,0,1,1,1,0,136.9,15,3.4,10.8,12
Drob de ciuperci Fito Fitt,1,0,1,0,0,150,18,6,8,0
Fasole chilli la conserva fara grasime Al Wadi,0,1,1,0,1,81,4.9,0.4,15.4,2.8
Mancare de fasole boabe cu boia de ardei Scandia,0,1,1,0,1,97,5.4,2.6,13,0
Paste cu legume Helices,0,1,1,0,0,334,12,2,67,0
Pesto Cirio,1,1,1,0,0,416,4.1,41.2,6.3,0
Ravioli cu branza Monte Banato,0,1,1,0,0,371,13,7.7,61,0
Ravioli ricotta e spinaci,0,1,1,0,0,305,10,5.6,53.7,0
Salata de ardei copti cu usturoi Toppo,1,1,1,0,0,50.2,0.8,3,5,0
Sarmale de post Mega Image,0,1,1,0,0,53.4,7.8,1.6,1.7,0
Tocana de legume Raureni,0,1,1,0,1,31.4,1.9,0.4,6.7,3.1
Tofu,0,1,1,1,0,91,10,6,2,0
Zacusca Vico,1,0,1,0,0,53,2.7,2.6,4.7,0
Zaziki Dr. Oetker,0,1,1,0,0,132,3.5,9.8,7.4,0
