4 in 1 cafea mix energy boost Doncafe,463,4,15,78,0
Alge de mare chinezesti preparate,45,3,1,9,1
Alge marine deshidratate,294,44.7,5.9,38.1,4.6
Alge verzi-albastre deshidratate,400,70,0,20,0
Aluat foietaj Bella,383,7,24,36,0
Aluat foietaj Linco,387,4.5,27,31,0
Aluat foietaj Winny,383,7,4,36,0
Aluat pentru foietaj Morarita,395,4.5,27.6,32,0
"Amestec de seminte in, chia, psysillium",496.5,11.4,30.1,40,29.4
"Amestec miere, polen, propolis, laptisor de matca Energo Forte",376.3,6.7,1.4,81.9,0
Amidon alimentar fin Gustin Dr. Oetker,343,0,0,87,0
Aperitiv vegetal cu naut Velicia,320,10.3,29.8,2.6,0
Batoane cu pasta de fructe cu zmeura Aptonia,330,2,0.5,80,3
Baton cu arahide Nutbar Elmas,483,14.9,31.2,43.6,5
Baton nutbar cu arahide si susan Elmas,473,13.2,31.4,48,7.5
Baton vegetal Inedit,225,11.3,18.6,3.2,1.8
Bautura din soia cu aroma de choco Alpro,63,3,1.8,8.3,0.8
Bautura din soia cu aroma de ciocolata Joya,61.1,3.3,1.9,7.7,0.9
Bautura din soia cu aroma de vanilie Joya,56.5,2.9,1.7,7.4,0.5
Bautura din soia cu gust de alune Alpro,29,0.3,1.6,3,0.3
Bautura din soia Joya,42.1,3,1.7,3.7,0.5
Bautura instant cacao Brumi,400,3.7,1.8,92,0
Bautura naturala bio de soia fara adaos de zahar Provamel,35,3.7,2.2,0.1,0.6
Baza pentru mancaruri Adazia,146.2,3.6,0.3,21.2,0
Blat pizza Happy Baker,248.7,6.9,2.5,47.9,0
Bors alb la plic Mammita,22,1,0.3,3.7,0
Bors de putina Tecuci,7,0.3,0,1.4,0
Bors de tarate,4,0.4,0,0.6,0
Bors pulbere Maggi,193,3.8,4.5,36.6,0
"Bruschete cu rosii, masline si oregano Maretti",465.1,9.1,20,62.2,0
Budinca cu ciocolata Dr.Oetker Original Pudding,158,4.7,4.5,24.8,0
Budinca de  vanilie Original Pudding Dr.Oetker,102,2.8,2.8,16.5,0
Bulete din piept curcan umplut congelat pane Saga,145,12,19,14,0
Bulion de rosii Ortomio,23,1.3,0.2,4,0
Bulion de tomate,62,3.6,0,11.6,0
Bulion fara zahar,38,1.7,0.2,9,1.9
Bulion Olympia,54,3.2,0,10.3,0
Bulion Raureni,78.3,0.8,0.1,19,1
Burger vegetarian Cris-Tim,210,15,15,5,0
Cacao Belbake Lidl,357,19.8,20.7,8.8,0
Cacao Bournville Cadbury,330,23.1,21.7,10.5,12.1
Cacao grasimi reduse Dr. Oetker,225,22.5,10.5,10.1,0
Cacao instant Alnatura,396,7.3,6.8,71.5,10
Cacao instant cu vitamine si minerale Nesquik Plus,379,4.5,2.5,82,6.9
Cacao pudra,229,20,14,54,33
Cacao pudra 10- 12% grasime Grande,395,19.7,10.3,55.9,0
Cacao pudra cu zahar,365,29,3,56,5
Cacao pudra neagra Dr. Oetker,330,19,22.5,12.8,0
Cacao pudra Pedro Mayo,213,25,10,9.9,34
Cacao Schmidt,317,19,21,13,0
Cafea 2 in 1 fara zahar la plic Doncafe,579,7,42,42,0
Cafea 3 in 1 Gano Cafe,376,8.4,2.1,58,0
Cafea 3 in 1 La Festa choco,418,2.4,8.9,82.1,0
Cafea 3 in 1 Latte Jacobs,465,2.1,19.5,70.2,0
Cafea 3 in 1 Nescafe Mild,295,2.2,12.2,44.2,0
Cafea 3 in 1 Original Nescafe,417,1.6,12.4,74.6,2.9
Cafea 3 in 1 Strong Nescafe,397,2.8,12,69.3,0
Cafea 3 in 1 zahar brun Nescafe,421,1.6,13,73.5,1.7
Cafea 4 in 1 Doncafe,452,1,16,75,0
Cafea Dynamix Energy Jacobs,405,2.5,10.5,75.7,0
Cafea frappe cu aroma de rom Nescafe,397,10.5,8.7,66.6,0
Cafea Frappe instant Doncafe,344,2,0,84,0
Cafea frappe Original Nescafe,392,14.5,4.2,73.2,0
Cafea Italian Espresso Based Illy,15,0.3,0,3.5,0
Cafea mix memory boost Doncafe,459,4,15,77,0
Cafea si zahar 2 in 1 Nescafe,303,1.1,0.3,74.2,0
Cafea solubila 2 in 1 cafea & creamer Nescafe ,478,2.9,25.6,48.6,4.6
Caju Auchan,621,19.6,50.1,19.9,6
Cappuccino Choco Doncafe,442,3,12,79,0
Cappuccino Choco Elite,414,4,10,77,0
Cappuccino Choco Nescafe,408,9.2,11,68,0
Cappuccino Clasic Nescafe,444,11.7,17.4,60.3,0
Cappuccino cu ciocolata Boutique Cafe,380,2.2,7.4,76,0.1
Cappuccino Melitta Weisser,391,5.1,6,78.9,0.1
Cappuccino Specials Milka Jacobs,410,8.9,13.5,63,0
Cascaval vegetal Edam Vian,334,25,26,0.1,0
Cascaval vegetal Forma,320,8,28,10,0
Castraveti cornison murati Bonduelle,28,1.2,0.1,4.6,0
Ciocolata calda alba la plic Don Cafe,425,8,10,74,0
Ciocolata calda cu gust de cirese Dr. Oetker,365.4,5.6,3.5,77.7,0
Ciocolata calda Don Cafe,380,5.9,5.9,80.5,4.6
Ciorba de burta la plic Knorr,22,0.6,0.7,3.3,0.1
Ciorba de burta Maggi,23.2,0.6,1.4,0,0.1
Ciorba de vacuta Vascar Scandia,86,4.4,5.4,4,0
Ciorba pui cu smantina Scandia ,99,4.3,7.9,2.6,0
Coliva,276.8,6.3,16.6,29.4,5.6
Completa coffee creamer,551,2,35,57,0
Concentrat cappuccino cu vanilie Lidl,420,10.4,9.4,71.3,0
Concentrat cu gust de gaina Maggi,245,4.5,11.2,31.5,0
Concentrat cu gust de legume Maggi,245,6.7,13.2,22.9,0
Concentrat supa cu galuste si legume Maggi,398,10.6,20.5,41.9,1.4
