Antricot de vita,236,17.4,18.5,0,0
Antricot porc crud,179,17.9,11.6,0,0
Aripi crude de curcan fara piele,119,18,4.7,0,0
Aripi curcan gatite cu piele,207,27.7,9.9,0,0
Aripi curcan gatite fara piele,163,30.9,3.4,0,0
Aripi de pui barbeque Sadia,193,22.6,10.8,1.3,0
Aripi de pui cu piele crude,205,17,15.2,0,0
Aripi de pui cu piele gatite,290,26.9,19.5,0,0
Aripi de pui fara piele gatite,203,30.5,8.1,0,0
Bacon crud Dulano,268,16,22,1,0
Bacon Hanegal eco.,350,17,31,1,0
Bacon Tulip,310,14,28,0.5,0
Balena,119,22.5,3.2,0,0
Beef Jerky,410,33,25.5,11,2
Burta de vita congelata Integra,67,14.1,1.3,0,0
Burta vita,168,15.9,11.2,0,0
Cal,113,21.5,2.5,0.9,0
Capra,109,20.6,2.3,0,0
Caprioara,105,20.8,1.9,0.4,0
Carnati Plescoi Cora,203,18,13.9,0.9,0
Carne cabaline nepreparata,133,21.4,4.6,0,0
Carne cabaline preparata,175,28.1,6,0,0
Carne cruda de bibilica fara piele,110,20.6,2.5,0,0
Carne de berbec cruda,109,22,2,0,0
Carne de berbec gatita,143,27,3,0,0
"Carne de bibilica cruda, cu piele",158,23.4,6.5,0,0
Carne de gasca grasa,392,16,35,0.2,0
Carne de porc cruda semi-grasa,212,29.3,9.7,0,0
Carne de porc grasa,340,15,30,0,0
Carne de rata cu piele gatita,337,19,28.3,0,0
Carne de rata fara piele gatita,201,23.5,11.2,0,0
Carne de vaca grasa,277,12,24.5,0,0
Carne de vaca slaba,104,20.4,2.2,0,0
Carne de vita gatita,188,30.3,6.6,0,0
"Carne mici amestec vita, porc, oaie",340,15,30,0,0
Carne porc muschi file crud,120,21,3.4,0,0
Carne porc muschi file fript,147,26,4,0,0
Carne tocata de vita (20%) si porc (80%),316.4,17.2,26.4,0,0
Carne tocata de vita (50%) si porc (50%) ,235,18,18,0,0
Carne tocata de vita Doly Com,257.2,17.4,20,0,0
Carne vabrioara de vita cruda,205,28.4,9.2,0,0
Ceafa de porc cruda,232,15.2,18.8,0,0
Ceafa de porc cruda,194,19.6,12.3,0,0
Ceafa de porc gatita,231,23.7,14.3,0,0
Ceafa de vita,180,20,11,0,0
Cerb,123,20.7,3.9,0.6,0
Ciocanele de pui crude cu piele Lidl,153.8,17.3,8.9,0.1,0
Ciocanele pui crude cu piele 365,185,17.3,9,1,0
Ciolan de porc,337,16,29,0.3,0
Clapon,167,19.3,9.3,0.4,0
Coasta de miel grasa gatita,361,22.1,29.6,0,0
Coasta de porc,163,21,8.1,0.4,0
Conserrva carne de vita Auchan,187,15.5,11.7,4.9,0
Conserva carne curcan Oldenhauser,171,19,10,1,0.5
Conserva carne de porc Domnica,170,10,12.7,3.8,0
Conserva carne de porc Hame,182,10.5,13.7,3.6,0
Conserva carne de vita in suc propriu Scandia,167,19.3,10,0,0
Conserva carne de vita Vasca,100,10.3,8.3,6.7,0
Conserva carne luncheon meat Carpati,224,12,17.2,5.2,0
Conserva carne Simmenthal,62,11.5,1.5,0.2,0.5
Conserva de carne de porc Bucegi,199,14.9,13.4,4.8,0
Conserva de carne de porc Loncshus,236,18.9,13,9.2,0
Conserva de porc in suc propriu Scandia,229,17,17.9,0,0
Conserva macrou file in ulei Yachtis,531.6,9.5,54.8,0.1,0
Costita de vita,263,16,21,0.5,0
Cotlet de porc,155,21.6,7,0,0
Creier de manzat fiert,136,11.5,9.6,0,0
Creier porc crud,127,10.3,9.2,0,0
Creier porc fiert,138,12.1,9.5,0,0
Creier vita crud,143,10.9,10.3,1.1,0
Creier vita prajit,196,12.6,15.8,0,0
Cremvusti Herta,281,12,25,2,0
Curcan cu piele crud,160,20,8,0,0
Fazan,111,22.3,1.9,0.5,0
Ficat de curcan crud,228,17.8,16.4,2.3,0
Ficat de curcan fiert,273,20,20.5,1.2,0
Ficat de gasca crud,133,16.4,4.3,6.3,0
Ficat de miel crud,139,20.4,5,1.8,0
Ficat de miel gatit,220,30.6,8.8,2.5,0
Ficat de porc,139,19.5,5.3,2.1,0
Ficat de pui crud,116,16.9,4.8,0,0
Ficat de pui fiert,167,24.5,6.5,0,0
Ficat de pui fript,172,25.8,6.4,1.1,0
Ficat de rata domestica crud,136,18.7,4.6,3.5,0
Ficat de vita,175,27,5,5,0
Ficat pui eco Grasten ,80,16,2,0,0
File din piept de pui Premium Quality Lidl,119.1,22,1,3.6,0
File piept de pui crud pentru gratar 365,158,30.9,3.6,0,0
Fleica porc gatita,242,27.3,14,0,0
Frigarui de pui Sav'or,120,21,2,3,0
Friptura de gasca,203,18.5,13.6,0.3,0
Fudulii de porc  crude,135,26,3,1,0
Gaina,140,19,6.5,0.4,0
Gordon Bleu de pui Sav'or,200,15,8,16,0
Hamburger de pui Agricola,182,11,7,17,0
Hamburger vita Mercadona Aldi R,205,17.3,14,2.4,0
Iepure de camp,106,23,1.1,0.5,0
Iepure de casa,162,21,8,0.4,0
Inima de miel,120,17.1,5.6,0,0
Inima de porc,148,24,5,0,0
Inima de pui,153,16,9,1,0
Inima de vita,165,29,5,0,0
Inimi pui eco Grasten,120,16,7,0,0
Jambon porc la conserva Zwan,119,17,5,1.5,0
Kaizer vid Elit,196,15.6,14,1,0
Limba porc fiarta,271,24.1,18.6,0,0
Melci,82,17.6,1,0.2,0
Mici cu carne de pasare Delicia,225,12,19.2,0,0
Mici trasi carne de porc Gepeto,181,12.7,13.9,0,0
"Miel, oaie (carne slaba)",200,19.7,12.7,0.3,0
Mini chiftele condimentate Linessa,239,17,15,8.8,0
Mortadella,313,13.7,30.8,0.3,0
Muschi de vita crud,215,19,15,0,0
Muschi de vita gras crud,332,14,30,0.6,0
Muschi de vita slab crud,137,21.4,5,0,0
"Muschi de vita slab, rotund",124,23,3,0,0
Muschi file crud de miel,112,15.2,5.2,0,0
Muschi slab de porc gatit,145,20.9,5.5,1.5,0
Muschiulet de pui Coco Rico,109.8,23,1,1.5,0
Nuggets de pui Zimbo Golden,276,22,16,11,0
Nuggets pui Sav'or,226,13,9,22,0
Nutrie,185,20.8,10.5,0.5,0
Oaie (semi-grasa),316,16.9,26.4,0.3,0
Omoplat de porc,295,17.5,23.9,0.3,0
Omoplat de vita,147,21,6.2,0.6,0
Pastrama Deluxe Lidl,100,3.5,19.5,0,0
Pate cu ficat de gasca Scandia,228,10.5,18.9,4,0
Pate de curcan Novac,270,17.4,26.5,1.5,0
Pate de fazan Scandia Sibiu,267,9.2,23.8,4.1,0
Pate de ficat,324,15.9,27.7,0.3,0
Pate de ficat cu ierburi fine La Belle Bretagne,266.6,13.3,23.3,3.3,0
Pate de ficat Unox,340,13,31,3,1
Pate de gasca integral Scandia,294,9.9,26.1,4.8,0
Pate de gasca Sibiu,294,9.9,26.1,4.8,0
Pate de gasca Vascar,317,9.1,28,4.6,0
Pate de masa porc Papila,241,10.1,19.7,5.9,0
Pate de pasare Moldova Ascar,139,10,8.9,3.7,0
Pate de pasare Tomis Vascar,152,9,9,8.8,0
Pate de porc Alipende,293,9.5,25.3,6.8,0
Pate de porc Aro,241,10.1,19.7,5.9,0
Pate de porc Carniprod,243,13,21,0.5,0
Pate de porc cu rosii Bucegi,242,12.5,18.8,5.4,0
Pate de porc Irma,270,12,23,4,0
Pate de porc Marasesti,241,10.1,19.7,5.9,0
Pate de porc Scandia Bucegi,185,11,13.9,2.3,0
Pate de porc Scandia Sibiu,212,10,17,4,0
Pate de porc Vascar,244,12.5,20,1.6,0
Pate de pui Bucegi,149,10.8,10.1,3.8,0
Pate de pui Sibiu,188,10.6,14.4,3,0
Pate de pui Tartini Caroli,259,11,22,5.5,0
Pate de rata Vascar,291,9.2,25,5,0
Pate ficat de pasare Scandia Bucegi,161,12,10.1,3,0
Pate ficat de pui Scandia,188,10.6,14.4,4,0.6
Pate ficat de rata Scandia Sibiu,228,10.5,18.9,4,0
Pate ficat vita Vascar,168,9.1,12.1,4.4,0
Pate Martinel Reinert,336,11,32,1,0
Pate popular Carpati,153,11.9,9.5,5,0
Pate popular de porc Carpati,192,11.4,14.7,3.6,0
Pate porc cu cascaval Bucegi,224,13.5,17,4.2,0
Pate Primo,192,11.4,14.7,5.9,0
Pate taranesc 365,239,14,19,3,0
Pate taranesc Campofrio,312,8,30,2.5,0
Pate taranesc cu bucati mari de carne Tartini Caroli,324,13.5,33,3.5,0.1
Pate taranesc de porc Sadu,192,11.4,14.7,3.6,0
Picioare de porc gatite,232,21.9,16.1,0,0
Piele de pui,454,20,41,0,0
Piept curcan cu piele crud,157,21.9,7,0,0
Piept curcan fara piele crud,107,25,0.4,0,0
Piept de curcan fara piele gatit,135,30.1,0.7,0,0
Piept de porc cu coaste,241,12.4,17.6,0,0
Piept de pui crud cu piele,172,20.9,9.2,0,0
Piept de pui dezosat Agricola,119,22.6,2.6,0.6,0
"Piept de pui file, fara piele",114,21.2,2.6,0,0
Piept de pui gatit cu piele,184,27.4,7.4,0,0
Piept de pui gatit fara piele,151,29,3,0,0
Piept de pui la gratar Mega Image,135.9,23.4,4.4,0,0
Piept pui bio Irma,110,21,1.5,0,0
Pipota curcan cruda,118,19,4.5,0,0
Pipota de pui cruda,94,17.7,2.1,0,0
Pipote crude de pui Avicola Floreni,122,20.7,4,0,0
Pipote si inimi de pui crude Coco Rico,113.5,15.7,5.2,0.1,0
Plaman crud porc,85,14.8,2.7,0,0
Porc mistret,112,21.6,2.4,0.4,0
Porumbel,130,19.6,5,1.2,0
Potarniche,97,20.5,1.2,0.4,0
"Prepelita, piept (japonez)",119,22.8,2.3,1.1,0
"Prepelita, pulpe (japonez)",132,19.6,5,1.2,0
