 Baton de ciocolata Chunky Kit Kat,525,5.4,28.8,61.2,0
 Biscuiti cu crema de frisca Ulpio,464.6,22.5,18.9,50,0
 Fursecuri de casa cu nuci ,557.5,16.5,51.7,11.5,5
 Inghetata de ciocoalta Minuto Betty Ice  ,123,1.5,3,22.7,0
Acadea pe bat,392,0,0,100,0
Alunite umplute cu crema de capsuni Olla,463,7,19,66,3
Aluntie umplute cu crema de vanilie Olla,469,7,19,66,3
Amandina,243.6,6,9.3,35.1,0.8
Arahide in ciocolata Big Ben,503,7.4,24,62,2.3
Arahide in ciocolata Clickos,492,7.8,25,59,0
Baclava,490,5,36,36,0
Baclava Tatlici Safa ,398,4.6,17.7,56.3,1.3
Banane de ciocolata Bella,383,1.8,11.3,67.9,2.8
Batoane dietetice caramel Gerlinea,382.3,24.7,11,46.9,4.7
Batoane dietetice ciocolata Gerlinea,382.3,25,11.1,46.5,4.8
Batoane dietetice cu caramel Gerlinea (Spania),322,35,6.7,29.1,15.1
Batoane dietetice cu ciocolata Gerlinea (Spania),323,35,6.8,29.1,14.7
Batoane dietetice cu menta si ciocolata Gerlinea,335,25.3,8.3,33.7,22.4
Batoane proteice  cu ciocolata si portocale Gerlinea,404,23,15,45.7,5.2
Batoane proteice cu ciocolata alba Gerlinea,395,22.9,14.1,45.6,6.9
Baton caramel Shapers Crispy,345,3.4,12,76,0.4
Baton cereale cu ciocolata Chocapic,415,7.5,13.5,65.7,2.9
Baton ciocolata alba cu alune de padure si stafide Heidi,443,6.6,29.3,38.8,0
Baton ciocolata Albeni,486,3.9,26.3,58.4,0
Baton ciocolata Ani Brawo Desire,467,5.6,21.6,77.6,0
Baton ciocolata caramel,416,4.5,14,68,0
Baton ciocolata cocos Delicii Poiana,465,2.9,20.5,67.5,1.1
Baton ciocolata cu alune hazelnutz Heidi,552,6.3,35.5,51.8,2.3
Baton ciocolata cu alune Smash,472.1,9.9,26.4,48.8,0
Baton ciocolata cu arahide Poiana Delicii,500,9,28,53,0
Baton ciocolata cu branza dulce Dots Nature,357,9.9,17.7,39.6,0
Baton ciocolata cu branza dulce Dots Nature Dark,364.4,9.5,18.7,38.2,0
"Baton ciocolata cu caramel, alune si glazura Dots Boom",396,7.5,20.8,44.5,0
Baton ciocolata cu stafide si rom Fagaras cel mare,440,2.5,61.5,19,0
Baton ciocolata Hematogen Ekzon,390,6.5,4,82,0
Baton ciocolata Mars Delight,548,5.3,32.7,58,0
Baton ciocolata nuga caramel Kliovo,444,3.7,18,70,0
Baton ciocolata Rom Autentic Tricolor (1964),500,3.3,22.8,66.3,0
Baton ciocolata Snickers Dark,490,9.2,24.8,56.5,1.9
Baton cu alune 60% Stilla,488,15.4,33.3,41,0
Baton cu cereale fara zahar Corny,333,6.3,10.5,66.3,3.3
Baton cu cereale si ciocolata Bio All Green,386,6,8,71,3
Baton cu ciocolata alba,498,5.1,24.6,64.2,0
Baton cu ciocolata alba Crunch Bar Heidi,443,6.6,29.3,38.8,0
Baton cu ciocolata amaruie Bounty,472,3.7,26,55.7,0
"Baton cu iaurt, ovaz si fructe Rommac",365,5,2,78,9
Baton cu lapte si crema de cappuccino Sonata,578.3,5.5,28.1,50,0
Baton cu lapte si crema de rom Sonata,580.2,5.5,28.3,47.5,0
"Baton cu merisoare, goji si musli Sante",428,4.6,14.8,68.7,2.9
Baton cu stafide si rom Fagaras,486,2.9,20.9,68,0
Baton cu susan migdale si miere Star,490,12.7,32.8,44.5,9.3
Baton cu susan si miere Star,542,17.7,39.1,29.9,9.4
"Baton cu susan, ciocolata si miere Star",540,12.3,34.4,41.3,7.2
"Baton cu susan, miere si arahide Star Naturals",487,13.2,31.8,45.3,8.1
"Baton cu susan, migdale si miere Star Naturals",490,12.7,32.8,44.5,9.3
Baton de caise Fruitbar Galmopan,446,4.9,13.3,76.6,0
Baton de cereale cu baza de lapte si gust de ciocolata Nestle Nesquik,418,7.2,13.6,66.6,2.7
Baton de ciocoalta Bounty,467,3.8,23.9,58.8,0
Baton de ciocolata amaruie si crema de cafea Kandia,560,5.9,34.7,56.3,5.2
Baton de ciocolata Crispy Bar Heidi,448,6.4,29.1,40.3,0
Baton de ciocolata cu crema de rom si biscuiti ROM Autentic,510,6.2,30.3,54.1,0
Baton de ciocolata cu lapte si alune de padure Kand'or Kandia,575,8.3,39.6,47.8,1.8
Baton de ciocolata cu lapte umplut cu crema nugat si caramel Primola K-ramel,457,4.3,20,0,1.2
Baton de ciocolata cu lapte Zoo Primola,547.1,10.7,32.7,50.3,0
Baton de ciocolata cu vanilie Kit Kat,532,5.4,32.7,54,1.4
Baton de ciocolata de casa Batonul copilariei Pan Food,451.4,5.8,12.9,75.1,0
Baton de ciocolata Kit Kat,437,3.4,17,67.5,0
Baton de ciocolata Kit Kat mini ,512,6.3,25.9,62.6,2.3
Baton de ciocolata Lion Maxi King,475,3.9,21.4,65.9,1.4
Baton de ciocolata Lion Nestle,485,4.9,22.9,64.9,0.9
Baton de ciocolata Mars,454,3.5,17.4,70.7,0
Baton de ciocolata neagra Dark Chocolate Kit Kat,505,5.8,25.7,58.1,0
Baton de ciocolata Snickers Cruncher,516,9.7,28.4,54.6,2.5
Baton de ciocolata Twix,495,4.6,23.9,64.5,1.4
Baton de cocos in ciocolata Carrefour,532,5.7,50,34,0
Baton de susan cu miere Tastino,523,13.4,28.3,54.2,0
Baton de vafe cu crema de cocos Tronky Ferrero,522,7.2,28.7,57.1,0
Baton dietetic cu ciocolata Nutrition & Sante Revel,377.4,24,11.9,43.7,6.9
"Baton din fructe, cu alune de padure, cereale si scortisoara Nutribon",336,7,10.6,55.2,9.3
Baton din zer cu caramel Das Gesunde Plus,398,16,15,46,7.6
Baton Kinder Bueno,557,7.2,35.3,52.6,0
Baton Kinder Chocolate,564,8.7,34.8,53.5,0.9
Baton Kinder Pingui,442,7.2,29.3,37.4,0
Baton Milk Snack Milino,468,5.5,29.9,44.2,0
Baton Soia Snack cu rom si cocos,411,12,13.5,58.1,0
Baton Soia Snack diet lemon,366,11.6,11.6,53.2,0
Baton Soia Snack Glazur banana,430,11.2,16.5,57.1,0
Baton Soia Snack Glazur cacao,425,11.6,15.7,57,0
Baton Soia Snack light cu alune,366,14.3,14.8,47,0
Baton susan si miere Marca 1 Carrefour,524,13.5,30,50,4.8
Bezele BBQ marshmallows McEnnedy,337,3.6,0.5,79.4,0
Bezele Haribo,336,3.5,0.5,80.6,0
Bicuiti cu scortisoara Biskrem,459,6.1,21.3,60.6,3.4
Biscuite cu crema de lapte Bifa milky mix,528,5,28.6,62.7,0
Biscuiti  cu crema de vanilie Kremall,435,5.3,21.3,55.8,0
Biscuiti 2B+C Vel Pitar,467,6.5,20,66,0
Biscuiti 365,468,5,23,60,0
Biscuiti 4 cereale Lu Start,421,7.4,14.6,65,0
Biscuiti 4 cereale Werz,471,5.7,20.4,67.8,0
Biscuiti asortati Lamberts Toscana,502,6,24,64.4,2.4
Biscuiti Baby Star ,441.1,7.4,13.9,71.6,0
Biscuiti bio cu miere Molenaartje,432,10,22,63,6.6
Biscuiti Biskrem,459,6.1,21.3,60.6,3.4
Biscuiti Biskrem Dark,513,3.8,27.3,63.1,0
Biscuiti Butterrings KClassic,531,5.4,30.4,57.8,2.2
Biscuiti cacao 5 minute Vel Pitar,471.4,6.9,17.6,71.3,0
Biscuiti cacao cu crema vanilie Germino,519.5,5.8,21.6,71.8,0
Biscuiti cacao cu crema vanilie Mega Image,484,6.2,18.5,71,4.3
Biscuiti Choco Minis Milka,486,7.2,24,60,0
Biscuiti Cookies 365,504,4.9,26.8,59.2,3.4
Biscuiti crema cu aroma de cocos Arslan Mallow,468.1,3.2,20,65.5,0
Biscuiti crema de cacao Aro,445,6,10,75,0
Biscuiti crema de vanilie Tempo,512.5,7,22.4,69.1,0
Biscuiti Cruschelle Balocco,446,8.3,15.6,65.1,6.1
Biscuiti cu alune caramelizate Leibnitz,518,14,28,51,3.2
Biscuiti cu aroma de lamaie Gustello,406,5.5,17.2,57.3,0
Biscuiti cu aroma de vanilie Clever,311,6.2,15.4,36.8,0
Biscuiti cu boabe de soia Gullon,428.9,8,18.5,57.6,9
Biscuiti cu cacao Picnic,346.2,13.4,3.9,60.7,2
Biscuiti cu cacao si alune Katy American Cookie Big Nut,494,6.6,29.5,50.2,0
Biscuiti cu cacao si rom Cremio Galmopan,488,6,24.8,60.2,0
Biscuiti cu cacao si vanilie Ora 5 RoStar,344,7.5,18.4,37.2,0
Biscuiti cu castane si seminte in Gerble,445,8.6,15.1,65.4,6.6
Biscuiti cu ciocolata Choco Cookie Milka,486,7.2,24,59.5,3.4
Biscuiti cu ciocolata Pepito Choco ,475,7.8,20,66,2.5
Biscuiti cu ciocolata si alune Auchan,507,7.7,25.8,60,2.1
Biscuiti cu ciocolata si fulgi de ovaz Alexia,527.5,6.9,23.3,68.9,0
Biscuiti cu cocos Coconitos Rostar,336,6.6,18.3,36.8,0.1
Biscuiti cu cocos Karsa Cikobest,438,3.2,18.2,65.3,0.6
Biscuiti cu crema,428,7.2,10.4,73.6,1.4
Biscuiti cu crema Croco,434,7,14,70,0
Biscuiti cu crema de alune cu glazura de cacao cu lapte Katy,552,4.8,33.1,58.7,0
Biscuiti cu crema de alune Ulpio,502,6.1,23.3,66.9,0
Biscuiti cu crema de cacao Ciocotartin Nefis,462,5.5,20.4,65.1,0
Biscuiti cu crema de cacao Day Dream Cream RoStar,402.2,5.8,17.6,55.2,0
Biscuiti cu crema de cacao Go-Go Ulpio,465,23.5,18.9,49,0
Biscuiti cu crema de cacao Mega Image,498,5,20,74,1
Biscuiti cu crema de cacao RoStar,446,5.5,21.9,57.3,0
Biscuiti cu crema de cappuccino Katy Kaufland,546,5.4,31.9,59.2,0
Biscuiti cu crema de capsuni RoStar,400,6.8,15,59,0
Biscuiti cu crema de ciocolata Tempo,467,6,18.3,69.7,0.3
Biscuiti cu crema de cocos Day Dream Cream RoStar,398.3,5.6,16.5,55.9,0
Biscuiti cu crema de fructe de padure Belvita,430,6.7,12.5,73.5,3
Biscuiti cu crema de lapte si ciocolata Biscolata Starz Solen,489.2,7.2,22.4,60.6,2.6
Biscuiti cu crema de vailie RoStar,400,6.8,15,59,0
Biscuiti cu crema de vanilie Day Dream Cream RoStar,394.7,5.7,16.4,56,0
Biscuiti cu crema de vanilie glazurati Poieni Vel Pitar,503,5.5,24.4,65.5,0
Biscuiti cu crema de vanilie Ulpio,468,5.7,22.3,61.6,0
Biscuiti cu crema frisca Cremita,453.5,6,19.1,61.7,0
Biscuiti cu crema lamaie Germino,497.8,5.8,17.3,76.2,0
Biscuiti cu fibre Rustic Viva,442,8,16,66.5,3.5
Biscuiti cu fulgi de ciocolata diet nature chip choco Gullon,460,5.8,24.9,62.7,2.6
