Anchoa in ulei vegetal Lindamar,209.2,25,12,0.3,0
Batoane de beste Fish Fingers Frosta,230,13.7,9.9,21.2,0.8
Batoane de calamar congelate Royal Greenland,172,12,7.5,14,0
Batoane de peste congelat Frosta,178,11.6,5.7,20,0
Batoane de peste congelat Mexican Frosta,204,11.9,10.6,15.8,0
Batoane de peste congelat Royal Arctic,219,8.3,9.9,24.1,0
Batoane de peste congelat Winny,230,8.5,8,31,0
Batoane de peste Iglo,197,13,8.1,18,0
Batoane de peste pane Vici,212,11,8,24,0
Batoane peste Fish Fingers Tiko,252,9.1,9.9,30.2,0
Batog din novac afumat Cora,122,17,5,0,0
Biban de apa dulce gatit,146,24.2,4.7,0,0
Biban de mare crud,97,18.4,2,0,0
Calamar,92,15.6,1.4,3.1,0
Calamar cu branza pane congelat Vici,191,12,9,15,0
Calamar inele pane congelate,228,8.8,7.9,29.8,1.8
Calcan,91,16,3,0,0
Cambula peste plat,91,18.8,1.2,0,0
Caracatita,82,14.9,1,2.2,0
Caracatita gatita,164,29.8,2.1,4.4,0
Caras gatit,102,20.7,2.1,0,0
Caviar,274,26,16,4.6,0
Chefal,117,19.4,3.8,0,0
Chiftele peste Lidl,135,10.1,0.9,21,0
Cocktail fructe de mare Cora,451,7.3,41.1,5,0
Cocktail fructe de mare La Caldera,73,13,1.6,1.7,0
Cocktail fructe de mare Royal Greenland,56,12.6,0.4,1.2,0
Coctail fructe de mare Vassiliou Trofinko Plus,122,20.5,2.4,14,0
Cod,107,24,1,0,0
Cod Alaska Alfredo Foods,81,17,1,0,0
Cod Del Mare,80,18.3,1,0,0
Conserva  file sardina in ulei picant Auchan,218,23,14,0,0.4
Conserva babusca in sos tomat,112,11.1,5.6,3.4,0
Conserva caracatita Dia,96,18.1,1.6,2.3,0.2
Conserva caracatita in ulei vegetal Don Fernando,198,22.5,9,5.8,0
Conserva caracatita in ulei vegetal Sun & Sea,86.8,15,2,2.2,0
Conserva creveti in saramura John West,97,21,1,1,0
Conserva de file sardina in sos tomate Auchan,160,17,9.5,1,0.4
Conserva de file sardina in ulei extra virgin Auchan,200,23,12,0,0.4
Conserva de hering file in sos de rosii Neptun,148,5.4,10.8,7.4,0
Conserva de hering in ulei Omi,335.4,13.2,31.4,0,0
Conserva de macrou file in ulei de floarea soarelui 365,201,27,10,0,0
Conserva de macrou file John West,231,13.9,18.3,2.6,0
Conserva de macrou file natur Saupiquet,159,11.8,12.4,0,0.2
Conserva de macrou in ulei de Baltica,277,13,25,0,0
Conserva de macrou in ulei Victory,143,21,6,0,0
Conserva de sardine cu ardei iuti Brunswick,206.5,21.7,13,0,0
Conserva de sardine in sos de rosii Victory,107.1,14.3,3,3.6,0
Conserva de sardine in sos de tomate Dia,239,17.7,18,1.2,0
Conserva de sardine in sos tomat Tesco,163.3,17,9.9,1.4,0
Conserva de sardine in sos tomat The Choice 111 Brand,80,2,0,19,0
Conserva de sardine in suc propriu Delhaize,191,23,11,0,0
Conserva de sardine in ulei de Baltica,252,18,20,0,0
Conserva de sardine in ulei de floarea soarelui cu lamaie John West,218,23,14,0,0
Conserva de sardine in ulei de masline Dia,210,22.8,13,0,0
Conserva de sardine in ulei de masline Rex,200,23,12,0,0
Conserva de sardine in ulei floarea soarelui Vitae Doro,115,13,7,0.1,0
Conserva de sardine in ulei Tesco,220,23.3,14.1,0,0
Conserva de sardine in ulei vegetal Cody,208,25,11,0,0
Conserva de sardine in ulei vegetal King Oscar,206,15.2,16.1,0,0.7
Conserva de sardine Princess,210,22,13.6,0,0
Conserva de ton bucati in suc propriu 365,101,25,0.1,0,0
Conserva de ton bucati in suc propriu La Miranda,124,28.8,1,0.1,0
Conserva de ton bucati in suc propriu Maxim,104,23,0,1.3,0
Conserva de ton bucati in ulei vegetal Siblou,198,29,8,0,0
Conserva de ton cu bucati de ananas John West,165,9.3,10.1,9.2,0.3
Conserva de ton file Princess,167,25,7.4,0,0
Conserva de ton file suculent John West,176,27,7.5,0.1,0
Conserva de ton in apa Al Alali,107,23,0,0,0
Conserva de ton in apa de izvor John West,119,27.6,1,0.1,0.1
Conserva de ton in sos chili Siblou,186,27,8,0,0
Conserva de ton in sos tomat Calvo,242,12.6,19.8,3.1,0.3
Conserva de ton in suc propriu Calvo El Salvador,103,24,0.8,0,0
Conserva de ton in suc propriu Deep Blue,99,23.5,0.6,0,0
Conserva de ton in ulei 365,166,19,10,0.1,0
Conserva de ton in ulei Albacore,253,25,17,0,0
Conserva de ton in ulei Carrefour,182,23,10,0,0
