 Seminte de dovleac Winny,416,24,31.5,9,0
Alune,567,26,49,16,8.5
Alune  sarate si prajite Mogyi,642,15.1,27.5,49.4,0
Alune crude intregi Sano Vita,674,11.6,62.3,16.8,0
Alune cu paprika Best,620,28,50,14,0
Alune de padure Auchan,588,18.8,52.3,8.6,15.1
Alune de padure coapte Elmas,634,21.4,55,18.9,11.3
Alune de padure crude,536,25,46.4,21.4,10.7
Alune de padure crude 365,623,22.1,50.3,18.9,11.1
Alune de padure crude Clever,640,26.7,49.5,16.6,10.5
Alune de padure crude Fine Foods,705,15,61,18,10
Alune de padure crude Real,644,12,61.6,10.5,8.2
Alune de padure crude Solaris,650,24.5,51.8,17,0
Alune de padure Cypressa,670,17.2,64.7,4.8,0
Alune de padure decojite Fruit Orchard,673,15,62,18,9
Alune de padure decojite Orlando's,690,25,46.4,14,10.7
Alune de padure in coaja subtire crude Orlando's,640,26.7,49.5,16.6,10.5
Alune de padure Nutline,637,21.9,53.9,16.2,0
Alune de padure prajite 365,634,21.4,18.9,95,0
Alune de padure prajite Elmas,587,16.1,54.5,17.5,13.7
Alune de pamant,567,26.7,49.2,16.1,8.5
Alune decojite crude Carrefour,584,26.3,44.5,14.6,6.8
Alune fara sare Stilla,604,26.7,48.8,14.4,5
Alune padure Stilla Natura,628,15,60.8,16.7,0
Alune picante cu paprika Felix,549,24.3,43.7,14.3,0
Alune picante Soltino,592,25.8,45.7,15.6,0
Alune prajite fara ulei,594,17.3,51.5,23.4,9
Alune prajite fara ulei sarate Fiesta,620,25,50,12.6,6.8
Alune prajite Hacendado,624,28.4,50.5,12.7,2.3
Alune prajite in ulei,617,16.8,56.3,21.4,9.9
Alune prajite Saltino,614,25.3,49.4,13.7,0
Alune prajite si sarate Circuss,592,24.7,47.4,13.4,1
"Alune prajite, nesarate Mogyi",638,15,51.5,27.5,7
Alune Royal Nuts K-Classic,629,15.5,54.5,15.5,7.3
Alune Star Naturals,547,23.4,44.1,14.1,9.5
Alune Stilla Natura,628,15,60.8,16.7,0
"Amestec caise, coacaze, goji, migdale ,floerea soarelui Nutribon",356,8,6.2,61,9
Amestec de nuci si alune crude Snacking Sport Max Fit Food Kluth,625,21.9,54.6,11.5,6.8
Amestec nuci bio Bioking,616,15.5,55.4,14.1,0
Amestec nuci exotice cu stafide Kluth,476,10,31.1,31.1,3.5
Amestec nuci si fructe Sunny Mix Fit Food,490,12.4,32.3,37.6,6.6
Amestec nuci tropicale si stafide Fine Food,529,13.1,39.9,29.3,7.7
"Amestec nuci, fructe uscate si aloe vera Fit Food Kluth",406,5.7,15.8,60.2,5
Amestec Party Mix Nutline,504,14.2,33.9,35.5,0
Amestec seminte Maryland,446,12.8,26.7,34,0
Arahide Carrefour,620,25,53,12.6,6.8
Arahide coapte cu sare Fiesta,620,25,50,12.6,6.8
Arahide coapte si sarate Elmas,568,29.8,42.5,22.6,12.3
Arahide crude Elmas,559,26.9,44.2,23.6,7.3
Arahide crude Fine Food,620,25,53,12.6,6.8
Arahide cu coaja prajite uscat sarate 365,689,27.7,49.3,18.1,7.3
Arahide decojite crude Orlando's,584,26.3,44.5,14.6,6.8
Arahide decojite prajite cu sare Best,310,14,25,7,0
Arahide decojite prajite si sarate Crox,620,25,50.3,13.5,0
Arahide decojite prajite si sarate Proxi,635,26,50.8,26,0
