 Suplimente Advanced Whey Aor,365,60,6.8,27.5,0
100% Casein Protein Gold Standard,343.8,75,1.6,9.4,3.1
100% Whey Isolate Scitec Nutrition,395.8,83.3,4.2,8.3,0
100% Whey Protein California Fitness,492.6,94.8,6.1,9.1,0.1
Batoane energetice cu pere si ciocolata Optonia,303,2.1,2.7,66,1
Batoane hiperproteice Aptonia,335,30,12,26,20
Batoane hiperproteice Ligne & equilibre Carrefour,413,23,13,53,1.6
Baton Atkins Chocolate Coconut ,425,12.5,30,47.5,22.5
Baton caramel Protein Plus Power Bar,386,27.6,11,44,3.5
Baton crunch cu fructe de padure Das gesunde Plus,348,3.9,6.1,64.6,9.3
Baton cu fulgi de grau germinat Granobar Redis,460,8.3,20,61.7,5
Baton cu L-Carnitin si fibre de ovaz Q Form Rommac,327,10,5.5,57,10
Baton de ciocolata Chocolate Brownie Atkins,345,30,16,26,16
Baton din zer cu afine Das Gesunde Plus,424,16.7,17,50,2.2
Baton din zer cu vanilie Das gesunde Plus,423,16.7,16.7,50,2.7
Baton din zer latte machiatto Das gesunde Plus,415,16.5,16,50,2.6
Baton energizant cu branza si lamaie Das Gesunde Plus,413,12,14,59,1.4
Baton Energy for Life Pro Nutricion,433,20.7,17.2,47.4,2
Baton fibre Q-form Rommac,305,10,2.5,62.5,21
Baton Fibrobar-R Redis,463.3,16.7,22.8,47.7,10.2
Baton fitness proteic cookies Das gesunde Plus,399,32,10.5,46,0.5
Baton ftness cu L-carnitina iaurt si ananas Das gesunde Plus,113,6.2,2.4,16,0.9
Baton Idealbar Redis,384,25.2,17.2,32.3,4.4
Baton nutritiv cu cereale si alune Nutribar-R Redis,481.6,15,20,50.5,3.4
Baton Power Bar Protein Plus,385,18,11.7,35.4,4.4
Baton Power Bar Ride ,387,18.6,16.6,40.9,7.4
Baton proteic 52% Protein Bar Weider,360,52,8.9,28,0
Baton proteic ciocolata Carrefour,413,21,11,56,3
Baton proteic cu zer si arahide Redis,473.3,33.3,20,40,3.3
Baton proteic cu zer Whey Bar-R Redis,459,25,18,49,0
Baton proteic Double Pro Bar 30% Protein Multipower,394,30,10.4,45,0
Baton proteic Double Pro Bar 33% Protein Multipower,403,32,11,43,0
Baton proteic energizant Q-form,413,23.3,11.6,53,3.3
Baton proteic Massbar-R Redis,617,17,25,50,3.3
Baton proteic Maximum protein 42 % Power House,390,42,8.2,40,0
Baton proteic Mega Mass Bar Weider,399,16.5,10.9,58.7,0
Baton proteic Milk & Egg Redis,270,15.9,10,29,2
baton proteic Nutrend Excelent,437,24,18.6,42,2.1
Baton proteic Oh yeah,553.6,37,34.2,16,6
Baton proteic Pronutrition bar,433,20.7,29.6,47.4,2
Baton Protein 2 To Interactive Nutrition,375,30.6,9.7,45.8,5
Baton Protein-R Redis,500,26.6,23.3,41.6,0
Baton proteine 32% Double Bar Weider,378,32,11.5,38.5,0
Baton proteine 32% Protein Bar Weider,390,32,10.2,42.6,0
Baton proteine 32% whey wafer bar Weider,514,32,26.5,36.2,0
Baton proteine 40% low carb high protein bar Weider,322,40,9,20.3,0
Baton proteine 42% maximum protein bar Weider,388,42,8.3,40,0
Baton proteine double pro bar Weider,414,28,11.7,49,0
Baton Q-Form Rommac,330,8.3,3.3,66.7,10
Baton Siluet Bar Redis,388,25.8,17.2,31.8,5.5
Baton smochine Canah,384,12.2,21.8,37.9,7.5
Bautura energizanta Energy Drink Additiva,380,1,1,88.1,1
Cacao boabe Nutrisslim,342,19.8,24.5,10.8,32.7
Capsule concentrat din otet de mere Dm Das Gesunde Plus,200,0,0,0,0
Carnitina FX Pro Nutrition,211.3,10,0,42.8,0
Carnitina lichida Dymatize,80,0,0,20,0
Cell Mass BSN,250,0,0,62.5,0
Concentrat proteic Milk & Egg Redis,364,85,0.8,4,0
Creatina Power Tech Dymatize,325,10,0,78,3
Desert Lean BSN,371,57,8.5,20,2.8
Dextroza Now Foods,375,0,0,100,0
Faina seminte de in Flax Seed Meal Now Foods,555.3,24.7,37,37,16.7
Fibre dieta plus inulina Rommac,218,2.5,0.2,71,20
Fibre din seminte de canepa Canah,149.4,19.6,5,65.5,63.5
Fibre mix Sanovita,96,3,7.4,3.5,32
Fibrobar forte Redis,346.6,15,13,41.6,12
Fibrobar Winny,320,17,15,45,25
Fibrobar-R ceai verde Redis,388,25.7,17.2,31.8,5.5
Gelatina pudra Now Foods,300,90,0,0,0
Glutamina FX Pro Nutrition,38.2,33.3,0,4.5,0
Inulina supliment pak Redis,120,0,0,97,90
Izolat proteic din soia Supliment Pak Redis,404,91,4,1,0
L- carnitine 1100 Dymatize,80,0,0,27,0
L-Carnitine lichida 3000 mg Now Foods,100,0,20,33.3,0
Lecitina de soia Crastan,820,0,88,8,0
Lecitina de soia natur Tierra,873,0,97,0,0
Lecitina granule fine Now Foods,700,0,55,10,0
Mass Gain System Nutritech,370.1,45.2,3.1,38,0
MCT Oil Now Foods,660,0,92.4,0,0
Milk and egg Pro Nutrition,368.3,69.7,2.5,19,0
MyoMax 10 in1 Scitec Nutrition,394.6,30.3,2.6,44,0
Polen,417,4.2,11.1,47.2,0
Protein shake banane cu L-Carnitina Sponser,370,83,3.5,4.5,0
Protein shake ciocolata cu L-Carnitina Sponser,370,71,3.5,14,0
Protein shake vanilie cu L-Carnitina Sponser,370,83,3.5,4.5,0
Proteina de zer WPI fara aroma Now Foods,374.8,89.2,1,3.6,0
Pudra canepa proteica Paradisul Verde,447,50,12,1.3,50
Pudra de slabit Redis Siluet-R,380,21,1.7,55,18
Pudra eco alge Chlorella Paradisul Verde,424,50,16,20,5.5
Pudra proteica canepa Canah,447,50,12,26,21
Shake Meta Diet BioTech,358,16,1.5,70,0
Spirulina alga uscata,290,57.5,7.7,23.9,3.6
Supa de rosii pudra Gourmet Herbalife,326,22,2,47,11.2
Supliment alimentar pe baza de miere Promiod,310,0.7,18,56,0
Supliment aroma vanilie Dymatize iso 100 Gourmet,379,89,1,2,0
Supliment caseinat de calciu Pak Redis,371,90,1.2,0,0
Supliment Colon Help,500,14.9,21.1,60.6,54
Supliment de fibre din cacao Dieta Plus Rommac,295,4.7,0.5,68,23.3
Supliment de fibre din cereale Dieta Plus Rommac,187.8,6.7,1,37.7,50
Supliment de fibre din citrice Dieta Plus Rommac,330,0.6,0,85,13
Supliment de fibre din mar Dieta Plus Rommac,316,4,0.5,74,18
Supliment Diomfibra light,172.3,7.2,0.9,52.6,23.7
Supliment N-Large 2 Prolab,395,34,3.3,57,0
Supliment proteic ciocolata Elite Dymatize,361,74,6,6,0
Supliment proteic Milk & Egg Redis,364,85,0.8,4,0
Supliment proteic Nutrifort-R,389,25,1,70,0
Supliment proteic Syntha 6 BSN,454.6,50,13.6,34.1,11.4
Supliment Super Mass-R Redis,358,50,0.8,38,0
Suplimente  Amino 2700 Nutriline,8,2,0,0,0
Suplimente 100% whey gold standard double rich chocolate optimum Nutrition,372,78.5,3.8,5.8,1.9
Suplimente 100% Whey Protein Scitec Nutrition,384,76,8,5.6,0
Suplimente 12 Hour rich vanilla Dymatize Elite,379,64,4.5,18,6.5
Suplimente Advanced Whey HCI,389,80,5.2,5.5,0.7
Suplimente Amino 2700 Universal,240,60,0,0,0
Suplimente Amino Liquid 50.000 Pro Nutrition,191,50,0,0,0
Suplimente AminoFuel Twinlab,222.2,33.3,0,24.4,0
Suplimente Arginine Liquid Scitec Nutrition,276,40.5,0.1,16.8,0
Suplimente Beef Aminos Universal Nutrition,200,50,0,0,0
Suplimente Beef Protein Olympian Labs,386,80.7,1,7,0
Suplimente Bulkpouders all-in-one,403,58.3,3.8,34.1,0
Suplimente capsuni QNT Zero Carb Metapure ,360,85.9,1.2,1.5,0
Suplimente Carbo Gain Now Foods,380,0,0,94,0
Suplimente Carbo Plus Natural Plus,400,0,0,45,0
Suplimente Carbo Plus Universal,388,0,0,97,0
Suplimente CarboX Biotech Nutrition,410,0,0,100,0
Suplimente Carnivor Muscle Meds,348,69,0,18,0
Suplimente CFM Whey Protein,370,82,2,6,0
Suplimente CFM whey protein neutral Weider,385,90,0.4,1,0
Suplimente ciocolata Forever Lite Ultra,360,68,4,16,4
Suplimente CLA 1250 MRM,1000,0,100,0,0
Suplimente Collagen renover Trec Nutrition,34,8.8,0,0,0
Suplimente concentrat din zer WPC 80 Universe,398,80,5.3,7.6,0
Suplimente cu fier efervescent aroma coacaze Kruger,200,0,0,3.5,0
Suplimente cu gust de vanilie QNT Metapure,354,84.3,1.2,1.5,0
Suplimente cu gust vanilie 100% Whey French Vanilla Gold Standard,377,81.2,3.4,5.6,0
Suplimente Elite Fusion Dymatize,430,52,6,11,5
Suplimente Elite Gourmet Dymatize,386.4,67.6,4.8,16.1,0
Suplimente Elite Liquid protein Dymatize,99,25,0,0,0
Suplimente Elite Mass Gainer Dymatize,400,36.6,4,51.3,1.3
Suplimente Elite Protein milk chocolate MyoFusion,405,67.5,8,13.5,3
Suplimente Elite Whey Protein Isolat Chocolate Fudge Dymatize,360,74,5,9,3
Suplimente faina de canepa Canah,281.3,29.4,8.1,22.7,29.5
Suplimente Fast Hydration Powertabs Isostar,362,0,0,79.9,0
Suplimente formula 1 Herbalife,315,38.9,9,19.5,19.7
Suplimente formula 3 Herbalife,383.3,83.3,4.3,3.7,0
Suplimente Formula 80 Multipower,375,80,1.1,8.4,0
Suplimente Gaspari Nutrition MyoFusion,416.6,69.4,8.3,13.9,2.7
Suplimente GFX-8 Pro Nutrition,393.6,45.6,4,43.8,0
Suplimente Gigant Pro Mass Pro Nutrition,390,36,4,52,0
Suplimente Glutamina-SR MHP,416.6,83.3,0,0,0
Suplimente Gold Standard 100% whey mocha cappucino Optimum,371,77.3,3.6,7.3,1.6
Suplimente Gold Standard 100% Whey Rocky Road Optimum Nutrition,370,78.9,3.4,7.5,1
Suplimente Hidro Whey Platinum,350,75,2.5,5,0
Suplimente Ideal Protein Redis,384,75,0.5,20,3.5
Suplimente Impact Whey Isolate MyProteins,370,92.3,0,0.7,0
Suplimente Iso Soy Pro Nutrition,361,88,0,0,0
Suplimente Iso Whey Zero BioTech,404,84,3,6,0
Suplimente Isotonic-R Redis,380,0,0,94.9,0
Suplimente izolat proteic din WPI Supliment Pak,375,95,0,0,0
Suplimente izolat proteic din zer WPI Redis,375,95,0.4,0.2,0
Suplimente K MASS Natural Plus,379.6,81.2,4.5,15,0
Suplimente L-carnitin instant Redis,410,7,0,90,0
Suplimente Mass 20 Scitec Nutrition,370,20,1.4,70,0
Suplimente Mass Forte Creatin R Redis,385,24.8,1,68.5,0
Suplimente Matrix Protein Natural Plus,376.3,76.1,4.2,13.9,0
Suplimente Max Protein Natural Plus,380,85,4,0,0
Suplimente Metapure Zero Carb QNT ,352,84,1.1,1.5,0
Suplimente MHP Probolic-SR,464.3,71.4,14.3,7.2,0
Suplimente MHP Probolic-SR Chocolate,424.2,60.6,12,15,6
Suplimente MHP Up Your Mass,386,34.8,8.3,44,9
Suplimente milk & egg cu aroma de ciocolata Universal,380,73,6,9,0
Suplimente Milk & Egg Strength Nutrition,376.9,70,0.7,16.3,0
Suplimente MioFusion Probiotic Gaspari Nutrition,437.5,69.4,8.3,14,2.7
Suplimente Muscle Pharma Assault,168,0,0,39,0
Suplimente Muslebuilder Celltech,310,0,0,77,0
Suplimente MyoFusion Gaspari Nutrition,411.6,64.6,8.4,14,2.7
Suplimente Myprotein Impact Whey Protein,393.2,78.4,6.8,6,0
Suplimente Natural 100% Oats & Whey Optimum Nutrition,384.6,46.1,2.9,44.2,7.7
Suplimente Nitro Core 24,416,49.9,10.4,29.1,10.4
Suplimente Nitro Tech Hardcore Muscletech,390,75,4.5,9,3
Suplimente Nutri Star High Protein Isolate,384.8,70.3,3.1,18.9,0
Suplimente Nutri Star Size Pump,303.3,0,0,75.6,0
Suplimente Omega-3 Now Foods,770,0,77,0,0
Suplimente Optimum Complex Gainer Nutrition Pro,394,36.3,4.8,51.5,3
Suplimente Optimum Platinum Hydrowhey,356,77,2.7,5.3,1
Suplimente Pro Complex ON,364.5,81,1.4,6.8,2.7
Suplimente Pro Gainer Now Foods,358,19.4,6.6,61,1.4
Suplimente Pro Mass Pro Nutrition,379.9,13.8,1.8,77.1,0
Suplimente Pro protein Biotech,388,30,9.2,46,2.6
Suplimente Pro Whey Hardcore Pro Nutrition,422.8,60.1,7.6,19.2,0
Suplimente Pro Whey Pro Nutrition,399,62,8.4,18.6,0
Suplimente Prot-R 85 Redis,362,85,0.2,5,0.1
Suplimente proteic Super Mass Gainer Dymatize,384,15,2,75,0
Suplimente proteice Advanced Nutrition Blend,389,80,5.2,5.5,0
Suplimente proteice Fit Up Pro Nutrition,320,60,3.3,10.6,0
Suplimente proteice Myo Max 10 in 1 Scitec  Nutrition,333.3,30.3,3.8,43.9,0
Suplimente proteice whey protein Zero Carb Zero Fat Isobest,425,100,0,0,0
Suplimente Protein Shake Fit Up Pro Nutrition,320.7,60,3.3,10.7,0
Suplimente Protein Weider NSP,249,34,0,15,0
Suplimente proteina zer hidrolizat XCore Best Body,412,91,3,3.7,1.4
Suplimente Proteinmix R Redis,364,85,0.8,4,0
Suplimente Protwhey R Redis,398,80,5.3,7.6,0
Suplimente Pure Whey Protein fara aroma Bulk Powders,393,82,6.6,6,0
Suplimente QNT Delicious whey protein,415,76,8.5,10,0
Suplimente QNT Protein 92,373,88.1,1.3,2.1,0
Suplimente Rapid Mass Natural Plus,391,22,0.8,72,0
Suplimente Rapid Mass Natural Plus,391,21,0.8,68,0
Suplimente Real Gains Universal,400,36,3,56,1
Suplimente Rich Vanilla Dymatize Elite XT,378,66,4.8,19,7
Suplimente shake cicolata total whey Gold Nutrition,392,76,4,13,0
Suplimente Simply Whey MHP,406,68.8,6.2,18.8,1.5
Suplimente Super Aminos Weider,349.8,79,2.2,3.5,0
Suplimente Super Mega Mass 2000 Weider,347,20,0.8,64,0
Suplimente Total Mass 4200 Nutritech,398.5,25,4,66,0
Suplimente ulei de peste Optimum fish oil,1000,0,100,0,0
Suplimente Ultra Whey Pro Universal,386.7,73.3,5,11.6,0
Suplimente vanilie QNT Metapure Q2,394,80,4.9,13,0
Suplimente vanilla Forever Lite Ultra,360,68,4,16,4
Suplimente Volumaize BSN,80,0,0,20,0
Suplimente VPX Syngex,420,80,6,8,0
Suplimente Whey Core 100 Nutrend,370,76.4,4.8,5.1,0.5
Suplimente whey Gold Standard,372,78.5,3.8,5.8,1.9
Suplimente whey pro Natural Plus,402,80,6,20,5
Suplimente Whey protein concentrate 82% banane Bulkpowders,435,77.1,8.3,12.9,0
Suplimente whey protein concentrate 82% fara aroma Bulkpowders,393.3,82,6.7,6,0
Suplimente Whey Protein Isolate Elite,377.4,77.4,6.5,6.5,0
Suplimente Whey Protein Pro Nutrition,431,76.4,8.4,12.5,0
Suplimete Hydro Pro Pro Nutrition,350,86.3,1.2,0.5,1.5
Tarate de psyllium,360,0,0,80,80
Tarate de psyllium Now Foods,400,0,0,90,75
Tarate de psyllium SanoVita,166,7.6,5.2,20.6,32
Tarate de psyllium Solaris,360,0,0,60,60
True Mass BSN,435,34.4,0,52.5,3.4
Ulei de in organic Now Foods,806,0,90,0,0
Ulei din seminte de canepa,857,0,99.3,0,0
Ulei germeni de grau Now Foods,792,0,89,0,0
Ulei nuci Macadamia Now Foods,499.2,0,56.2,0,0
Whey Premium Protein Nutritech,385.4,71.9,0.6,2.6,0
WPI cu arome Now Foods,370,80,1,11,0
Xilitol Cora,240,0,0,100,0
