Babic Aldis,1,0,1,0,472,22,40,2,0
Bacon afumat Carrefour,1,0,1,0,412,12,40,1,0.4
Bacon afumat Cris-Tim,1,0,1,0,346.1,18.1,30.2,0.5,0
Bacon afumat cuburi 365,1,0,1,0,233,15.5,18.8,0.5,0
Bacon afumat Delfin,1,0,1,0,266,18.6,20.7,1.3,0
Bacon Aldi R,1,0,1,0,375,14,35,1,0
Bacon Alipende,1,0,1,0,318,15.6,28,1,0
Bacon Auchan,1,0,1,0,250,16,20,1.5,0
Bacon Carrefour,1,0,1,0,448,22,40,0.1,0
Bacon Cora,1,0,1,0,161,16.3,10.5,0.5,0
Bacon feliat Best Farm,1,0,1,0,163,17.8,9.7,0,0
Bacon Gourmet,1,0,1,0,350,18,32,0.5,0
Bacon porc feliat Auchan,1,0,1,0,250.5,18.2,19.4,0.9,0
Baton carne Reinert,1,0,1,0,272,13,24,1,0
Baton din carne de pui si curcan Wudy Pop Aia,1,0,1,0,185,14,14,2,0
Caltabos,1,0,1,0,307,14,23,8.7,0
Caltabos alb,1,0,1,0,258,18.2,19.7,0,0
Carnaciori de bere picant Baroni Lidl,1,1,1,0,243,16,19,0,0
Carnaciori mix cu legume Junior Farm Meat,1,1,1,0,262,12.4,23.6,0,0
Carnaciori picanti Cris-Tim,1,1,1,0,272.6,16.5,22.3,1.4,0
Carnat alb Zimbo,1,1,1,0,285,14,25,1,0
Carnat Chorizo Fort,1,1,1,0,426,24,36,1.4,0
Carnat porc eco Hanegal ,1,1,1,0,270,19,22,0,0
Carnat pui Hanegal,1,1,1,0,206,16,14,4,0
Carnat thuringer,1,1,1,0,362,17.4,30.4,3.3,0
Carnati afumati,1,1,1,0,301,15.5,25.4,0.3,0
Carnati afumati traditionali Maestro,1,1,1,0,295,17,25,0.5,0
Carnati Alpin Unicarm,1,1,1,0,192.6,12.3,15,0.6,0
Carnati ardelenesti Pure Meat,1,1,1,0,142,18.3,7.7,0,0
Carnati banateni Cris-Tim,1,1,1,0,352.8,15.1,30.8,4,0
Carnati boeresti Cris-Tim,1,1,1,0,237.7,16.8,18,2.1,0
Carnati cabanos,1,1,1,0,374,19.4,31.7,0,0
Carnati cabanos Alpinia,1,1,1,0,350.7,18.1,30.4,1.2,0
Carnati cabanos Caroli,1,1,1,0,315,12.6,29,1,0
Carnati cabanos extra Cris-Tim,1,1,1,0,335.6,18.6,28,2.2,0
Carnati Cabanos Maestro,1,1,1,0,352,15,32,1,0
Carnati carne de curcan Stasnik,1,1,1,0,423,26,35,1.1,0
Carnati Crenguta Unicarm,1,1,1,0,171.3,12,12.2,2.1,0
Carnati crud uscati picanti Aldis,1,1,1,0,460,16,41,2,0
Carnati cu sunca Maestro,1,1,1,0,330,14,30,1,0
Carnati de bere Caroli,1,1,1,0,322,15,30,0.5,0
Carnati de casa,1,1,1,0,321,18,26.9,0,0
Carnati de casa cu cascaval Cris-Tim,1,1,1,0,205.6,18.5,14.1,1.1,0
Carnati de gratar Alpinia,1,1,1,0,219.6,14.2,17.5,1.2,0
Carnati de Plescoi uscati si afumati Gusturi Romanesti,1,1,1,0,369,25,30,1.8,1.8
Carnati de porc Cris-Tim,1,1,1,0,284.3,13.8,24.6,1.9,0
Carnati Ghiudem Aldis,1,1,1,0,501,18,45,2,0
Carnati Morcilla Martinez,1,1,1,0,262,6,26,1,0
Carnati oltenesti Cris-Tim,1,1,1,0,266.9,13.1,21.7,4.9,0
Carnati oltenesti extra Cris-Tim,1,1,1,0,338.4,16.5,28.1,4.8,0
Carnati oltenesti Lindenhof,1,1,1,0,321,11,29,3,0
Carnati pentru gratar Cris-Tim,1,1,1,0,312.6,13.6,27.1,3.6,0
Carnati picanti Baton Snackwurst Pikante,1,1,1,0,439,26.5,34,1,0
Carnati picanti Sticks Aldis,1,1,1,0,473,18,42,2,0
Carnati plescoi Cris-Tim,1,1,1,0,367.2,15,31.1,3.9,0
Carnati populari Alpinia,1,1,1,0,267.9,16.6,20.5,4.2,0
Carnati proaspeti Longaniza Martinez,1,1,1,0,226,13,18,3,0
