Alge de mare chinezesti preparate,0,1,1,0,45,3,1,9,1,,
"Amestec de seminte in, chia, psysillium",0,1,1,0,496.5,11.4,30.1,40,29.4,,
Aperitiv vegetal cu naut Velicia,0,1,1,0,320,10.3,29.8,2.6,0,,
Batoane cu pasta de fructe cu zmeura Aptonia,1,1,1,0,330,2,0.5,80,3,,
Baton cu arahide Nutbar Elmas,1,1,1,0,483,14.9,31.2,43.6,5,,
Baton nutbar cu arahide si susan Elmas,1,1,1,0,473,13.2,31.4,48,7.5,,
Baton vegetal Inedit,1,1,1,0,225,11.3,18.6,3.2,1.8,,
Bautura din soia cu aroma de choco Alpro,1,1,1,0,63,3,1.8,8.3,0.8,,
Bautura din soia cu aroma de ciocolata Joya,1,1,1,0,61.1,3.3,1.9,7.7,0.9,,
Bautura din soia cu aroma de vanilie Joya,1,1,1,0,56.5,2.9,1.7,7.4,0.5,,
Bautura din soia cu gust de alune Alpro,1,1,1,0,29,0.3,1.6,3,0.3,,
Bautura din soia Joya,1,1,1,0,42.1,3,1.7,3.7,0.5,,
Bautura instant cacao Brumi,1,1,1,0,400,3.7,1.8,92,0,,
Bautura naturala bio de soia fara adaos de zahar Provamel,1,1,1,0,35,3.7,2.2,0.1,0.6,,
Bors alb la plic Mammita,0,1,1,0,22,1,0.3,3.7,0,,
Bors de putina Tecuci,0,1,1,0,7,0.3,0,1.4,0,,
Bors de tarate,0,1,1,0,4,0.4,0,0.6,0,,
"Bruschete cu rosii, masline si oregano Maretti",1,1,1,0,465.1,9.1,20,62.2,0,,
Budinca cu ciocolata Dr.Oetker Original Pudding,1,1,1,0,158,4.7,4.5,24.8,0,,
Budinca de  vanilie Original Pudding Dr.Oetker,1,1,1,0,102,2.8,2.8,16.5,0,,
Bulete din piept curcan umplut pane Saga in cuptor,0,1,1,1,145,12,19,14,0,,
Burger vegetarian Cris-Tim,0,1,1,0,210,15,15,5,0,,
Cascaval vegetal Edam Vian,1,1,1,1,334,25,26,0.1,0,,
Cascaval vegetal Forma,1,1,1,1,320,8,28,10,0,,
Castraveti cornison murati Bonduelle,0,1,1,0,28,1.2,0.1,4.6,0,,
Ciorba de burta la plic Knorr,0,1,1,0,22,0.6,0.7,3.3,0.1,,
Ciorba de burta Maggi,0,1,1,0,23.2,0.6,1.4,0,0.1,,
Ciorba de vacuta Vascar Scandia,0,1,1,0,86,4.4,5.4,4,0,,
Ciorba pui cu smantina Scandia ,0,1,1,0,99,4.3,7.9,2.6,0,,
Coliva,1,1,1,0,276.8,6.3,16.6,29.4,5.6,,
Conserva carnaciori cu fasole boabe Sadu,0,1,1,1,164,7.9,10,10.5,0,,
Conserva ciorba de pui Scandia Traditii,0,1,1,0,55,4.1,3,3,0.1,,
Conserva ciorba de vacuta Scandia Traditii,0,1,1,0,71,0.5,3.8,4.3,0.1,,
Conserva costita afumata cu mancare de fasole boabe Scandia Traditii,0,1,1,0,132,8.6,6.2,10.5,0,,
Conserva cu salata de vita cu maioneza si legume Olympia,1,1,1,0,78,4.4,2.4,9.5,0,,
Conserva de ciorba de burta Scandia Traditii,0,1,1,0,116,9,7.5,3.2,0,,
Conserva de salata vinete libaneza Darinne,1,1,1,0,106,3.5,3.7,15,1.2,,
Conserva porc Tulip,0,1,1,0,180,17,12,0.5,0,,
Conserva salata de ton mexicana Delhaize,1,1,1,0,644,10,8,10,2.8,,
Conserva salata de ton Nicoise Delhaize,1,1,1,0,134,6.7,8.8,7,1.1,,
Conserva sarmale Scandia,0,1,1,0,147,8.8,9.6,6.3,1,,
Cordon bleu de pui Carrefour,0,1,1,1,216,15.5,11.6,12.3,0,,
Cordon bleu din sunca de curcan si cascaval Saga la cuptor,0,1,1,1,296,12,22,12.5,0,,
Crema de branza cu visine Quark Exquisa,1,1,1,0,89,6.4,0.2,15.5,0,,
Crema de unt cu mirodenii Gustoso,1,0,0,0,360,2.5,38,2,0,,
Crema de unt natur Gustoso,1,0,0,0,360,2.5,38,2,0,,
Crema tartinabila oua si ceapa verde Toppo,1,0,1,0,418,7,42,3,0,,
Crema tartinabila somon si arpagic Toppo,1,0,1,0,608,5,64,3,0,,
Crema tartinabila ton Toppo,1,0,1,0,378,8,37,3,0,,
Crenvursti vegetali afumati in saramura Inedit,1,1,1,1,128,18.8,5.2,1.6,0,,
Crenvursti vegetali Cris-Tim,1,1,1,1,223.4,13.3,14.4,10.1,0,,
Crenvursti vegetali Inedit,1,1,1,1,133.4,9.9,8.9,2.1,0,,
Crochete cu susan si mac  Arcada,0,1,1,1,362,7,16,45,0,,
Crochete peste Vita Star Kaufland,0,1,1,1,172,12,7.5,14,0,,
Crochete vegetale din soia Inedit,0,1,1,1,91.5,7.1,3.2,8.3,0,,
Crochete vegetale in sos tomat Inedit,0,1,1,1,136.9,15,3.4,10.8,12,,
Drob de ciuperci Fito Fitt,1,0,1,0,150,18,6,8,0,,
Dulceata de fructe de padure cu 30% mai putine calorii Schwartauer,1,0,1,0,169,0.4,0.2,39.8,2,,
Dulceata de pere,1,0,1,0,271,0.4,0,70.9,0,,
Fasole chilli la conserva fara grasime Al Wadi,0,1,1,0,81,4.9,0.4,15.4,2.8,,
Fasole cu costita afumata Unicarm,0,1,1,0,125.7,8.8,4.9,10,0,,
File peste cu spanac Frosta la cuptor,0,1,1,1,179.3,11.2,7,17.3,0,,
Fulgi de cartofi Carrefour preparate cu apa,0,1,1,0,333,8,1,73,0,,SHOULD BE SIDEDISH
Gem de caise fara zahar Hero,1,0,1,0,29,0.5,0.1,8,2,,
Gem de capsuni fara zahar Diet Hero,1,0,1,0,23,0.5,0.2,6.2,1.9,,
Gnocchi di patate Casa Cecconi,0,1,1,0,148,3,0,34,0.8,,
Gnocchi di patate De Cecco,0,1,1,0,155,3.5,0.5,34,0,,
Gordon bleu de pui Sadia,0,1,1,1,183.7,16.5,8.8,9.4,2,,
Gordon bleu semipreparat Ella Bella Transavia,0,1,1,1,160,14.6,7.5,7.4,0,,
Hamburger din soia Sav'or ,0,1,1,0,145,14,3,14,0,,
Hummus Durra,1,1,1,0,300,9.6,19.7,21,0.6,,
Hummus Mandy,1,1,1,0,194,5.4,9.7,21.3,0,,
Humus,1,1,1,0,177,4.9,8.6,20.1,4,,
Humus Chtaura,1,1,1,0,142,6,6.5,15,1.3,,
Humus Daniela's,1,1,1,0,262,6.1,17.7,17.5,0,,
Humus Olympia,1,1,1,0,90,5.6,2.1,12.4,0,,
Iaurt soia cu fructe exotice Savia Danone,1,0,1,0,80.8,2.9,1.7,12.7,0,,
Iaurt soia Savia Danone,1,0,1,0,101,3.6,2.1,15.9,0.3,,
Inlocuitor branza Viotros Violife,1,0,1,0,130,21,3,4,0,,
Lapte cocos bio Dr Antonio Martins Billa ,1,0,1,0,19,0.7,0.1,3.7,0.6,,
Lapte cocos Thai Delhaze,1,0,1,0,180,1.8,17.8,3,0.5,,
Lapte de cocos,1,0,1,0,230,2.3,23.8,5.5,2.2,,
Lapte de cocos Auchan,1,0,1,0,189,1,19,2.2,0,,
Lapte de cocos Blue Dragon,1,0,1,0,152,1.8,14.9,2.7,0,,
Lapte de cocos Cora,1,0,1,0,197,2,19,4.5,0,,
Lapte de cocos Sincere,1,0,1,0,160,1.5,17,1,0,,
Lapte de soia cu aroma de vanilie Alpro,1,0,1,0,62,3.3,1.8,7.9,0.6,,
Lapte de soia cu capsuni bio Provamel,1,0,1,0,59,3.8,2.2,5.8,0.6,,
Lapte de soia cu vanilie bio Provamel,1,0,1,0,60,3.8,2.2,6.2,0.6,,
Lapte de soia neindulcit Soya Soleil,1,0,1,0,27,2.9,1.7,0.1,0,,
Lapte de soya So Nice,1,0,1,0,32,2.4,1.2,2.8,0.4,,
Lapte din soia imbunatatit cu calciu si vitamine Alpro,1,0,1,0,39,3,1.8,2.5,0.5,,
Lapte din soia Savia Danone,1,0,1,0,47,3.1,1.8,4.5,0.4,,
Lapte praf Cora,1,0,1,0,500,30,26,37,0,,
Lapte praf Dr. Oetker,1,0,1,0,490,26,26,38,0,,
Lapte praf Nan 1 Nestle,1,0,1,0,519,9.6,27.7,57.8,0,,
Lapte praf soia Inedit,1,0,1,0,470,3.6,24,60,12.5,,
Lapte soia Central Lechera Asturiana,1,0,1,0,26,2.1,1.2,1.6,0,,
Lapte soia cu calciu Alpro,1,0,1,0,55,3,1.7,6.7,0,,
Lapte soia vanilie Interspar Vital,1,0,1,0,40,2.9,1.7,3.9,0.5,,
Lasagna cu carne tocata de vita si sos,0,1,1,0,127,8.3,4.7,12.9,1.2,,
Lasagne alla Bolognese Buitoni,0,1,1,0,136,5.3,6.8,12.9,0.8,,
Legume cinci culori chinezesti,0,1,1,0,46,2,2,5,1,,SHOULD BE SIDEDISH
Mamaliga,0,1,1,0,70,2,0,15,1,,
Mancare congelata asiatica cu orez si pui Nasi Goreng Frosta,0,1,1,0,89,6.4,1.5,12.5,0,,
Mancare congelata picanta cu orez si carne fina de pui Nasi Goreng Yuan,0,1,1,0,120,6,4,15,0,,
Mancare de fasole boabe cu boia de ardei Scandia,0,1,1,0,97,5.4,2.6,13,0,,
Mancare greceasca congelata Gyros Frosta,0,1,1,0,117,5,4.6,13.9,0,,
Mancare indiana cu orez si pui Frosta,0,1,1,0,113,6.1,3.9,13.4,0,,
Masline verzi umplute cu ardei Alipende,1,1,1,0,163,1.9,16,0,0,,
Milk shake cu ciocolata Gerlinea,1,1,1,0,676,43,18,84,4,,
Mucenici Multipast,1,1,1,0,351,11,1,71,3.4,,
Nuggets pui Sadia,0,1,1,1,319,18,19,19,0,,
Orez cu fructe de mare chinezesti,0,1,1,0,83,2,0,19,0,,
Orez semipreparat paella Scotti,0,1,1,0,141,3.8,3,24.7,2.2,,
Pachetele de primavara chinezesti,0,1,1,0,238,4,14,24,4,,
Paella Dujardin,0,1,1,0,107,5.8,0.9,19.8,0,,
Paella Frosta,0,1,1,0,150,6.6,5.6,18.2,0,,
Parizer vegetal cu legume Cris-Tim,1,1,1,0,216.6,10.4,14.7,10.7,0,,
Pasta de arahide Geimex,1,1,1,0,637,28,53,11,0,,
Pasta de ficat Familia Carrefour,1,1,1,0,268,11,24,2,0,,
Pasta de masline Delphi,1,1,1,0,244.4,1.9,25.2,2.5,3.4,,
Pasta de masline kalamata Mega Image,1,1,1,0,250,2.2,24,8.3,0,,
Pasta de susan (tahina) Al Wadi,1,1,1,0,699,29,61,9,0,,
Pasta de susan (tahina) Durra,1,1,1,0,692,25,60,12,3,,
Pasta de susan cu praf de cacao Eridanous,1,1,1,0,587,17.7,40.4,34.3,7.5,,
Pasta de susan tahini Darinne,1,1,1,0,697,21.5,60.6,13.6,1.2,,
Pasta Naut Darinne,1,1,1,0,300,9.6,19.7,21,0.6,,
Pasta vegetala cu ceapa verde Unicarm,1,1,1,0,284.6,2.7,28.5,2.1,0,,
Paste cu legume Helices,0,1,1,0,334,12,2,67,0,,
Paste cu sunca pancetta dolce Montorsi,0,1,1,0,329,17,29,0.1,0,,
"Paste fainoase alfabet, fara ou si gluten Pasta D'oro",0,1,1,0,350,5.5,1.1,72,0,,
Paste fainoase fusilli Giovanni,0,1,1,0,334,13.9,0.1,71.3,0,,
Paste ravioli cu creveti Rana,0,1,1,0,300,10,14.3,32.5,0,,
Pate carne de pasare si de porc Baroni,1,0,1,0,187,7.8,14.7,0,0,,
Pate de cerb Auchan,1,0,1,0,281,15.3,23,3.3,0,,
Pate de ciuperci Alnatura,1,0,1,0,204,7.3,15,10,0,,
Pate de foie gras Cora,1,0,1,0,353,10.5,34,1.3,0,,
Pate de pasare Top Apetit,1,0,1,0,176,9.3,12.5,6.4,0,,
Pate de porc Baroni,1,0,1,0,254,9.4,22.1,4.3,0,,
Pate de porc Baroni 200 g,1,0,1,0,185,11,13.9,4,0,,
Pate de porc clasic Mandy,1,0,1,0,174,8.3,13.5,5.7,0,,
Pate de porc cu verdeturi Bucegi,1,0,1,0,227,10.7,18.8,3.7,0,,
Pate de porc Life Style Hamme Slim-Fit,1,0,1,0,125,9.8,6.9,6.8,2.3,,
Pate de porc Now Foods,1,0,1,0,192,11.4,14.7,3.6,0,,
Pate de post Saltempo,1,0,1,0,282.3,3.4,28.2,1.5,0,,
Pate de pui Mandy,1,0,1,0,306,6.8,28.6,5.3,0,,
Pate de ton Rio Mare,1,0,1,0,237,13.5,18.5,4,0,,
Pate fin din carne de porc Linessa,1,0,1,0,247,15,20,1.5,0,,
Pate pasare Clever,1,0,1,0,153,11.9,9.5,5,0,,
Pate pasare Marasesti,1,0,1,0,175,10.2,12.3,5.9,0,,
Pate porc Clever,1,0,1,0,192,11.4,14.7,3.6,0,,
Pate taranesc de pasare Sadu,1,0,1,0,156,12.4,9.6,5,0,,
Pate tartinabil Picnic Carniprod,1,0,1,0,243,13,21,0,0,,
Pate vegetal ardei gras Mandy,1,0,1,0,276,3,27.5,5,0,,
Pate vegetal Bucegi,1,0,1,0,243,3.7,24.3,2.3,0,,
Pate vegetal ciuperci  Mandy,1,0,1,0,264,2.5,25.6,6.4,0,,
Pate vegetal cu ardei Baroni Lidl,1,0,1,0,170,3,13,10,5,,
Pate vegetal cu ardei Sibiu,1,0,1,0,278,5.3,24.6,8.8,2.1,,
Pate vegetal cu ciuperci Hame,1,0,1,0,255,3.6,26,3.7,0,,
Pate vegetal cu ciuperci si masline Kosarom,1,0,1,0,253.4,5,24.6,3,0,,
Pate vegetal cu ciuperci Sibiu,1,0,1,0,217,11.1,17.3,4.2,0,,
Pate vegetal cu spanac Sibiu,1,0,1,0,286,5.1,29.2,0.7,0,,
Pate vegetal masline Mandy,1,0,1,0,286,2.3,28.9,4.7,0,,
