Apa aromata Voslauer Balance,1,1,1,0,16,0.1,0.1,3.8,0,,
Apa minerala cu aroma de portocale Voslauer Biolimo,1,1,1,0,25,0.1,0.1,5.2,0,,
Apa minerala Feelings cu gust de mar,1,1,1,0,14.7,0,0,3.5,0,,
Apa tonica Schweppes Kinley,1,1,1,0,37,0,0,8.9,0,,
Apa tonica Schweppes Mandarin,1,1,1,0,42,0,0,10.1,0,,
Bautura alcoolica pe baza de rom Bacardi Breezer,0,1,1,0,44.4,0,0,3.7,0,,
Bautura bio din ovaz Joya,1,1,1,0,46,0.6,1,8.2,0.9,,
Bautura carbogazoasa Allegria Tropical,1,1,1,0,6.3,0.1,0,1.2,0,,
Bautura carbogazoasa Cola light Freeway Lidl,1,1,1,0,1,0,0,0.1,0,,
Bautura carbogazoasa Pepsi,1,1,1,0,42,0,0,11.8,0,,
Bautura carbogazoasa Pepsi Light,1,1,1,0,0.2,0.1,0,0.1,0,,
Bautura carbogazoasa Pepsi Max,1,1,1,0,0.3,0,0,0,0,,
Bautura carbogazoasa Pepsi Twist Lemon,1,1,1,0,41,0,0,10,0,,
Bautura carbogazoasa Sprite,1,1,1,0,39,0,0,9.6,0,,
Bautura cu fructe si leche Don Simon,1,1,1,0,33,0.4,0,7.6,0,,
Bautura cu lamaie si ceai verde Top Lemon-Lime Santal,1,1,1,0,34,0,0,8.6,0,,
"Bautura cu morcov, portocale, mar Tedi",1,1,1,0,52,0.3,0.1,12.4,1.3,,
Bautura de portocale Don Simon,1,1,1,0,43,0.6,0.1,10,0,,
Bautura de soia cu vanilie Delhaize,1,1,1,0,56,3,1.8,6.9,0.5,,
Bautura din orz solubil Crastan,1,1,1,0,344,8,0,78,4,,
Bautura din soia cu aroma de vanilie Inedit,1,1,1,0,33,1.8,1.1,4.1,0,,
Bautura din soia cu ciocolata elvetiana Joya,1,1,1,0,80,4,2.8,9.2,1,,
Bautura din soia Soia & Fibre Carrefour,1,1,1,0,50,3.6,2.1,2.9,2.5,,
Bautura Dr. Pepper less sugar,1,1,1,0,28,0,0,6.9,0,,
Bautura energizanta 365,1,1,1,0,115,0.3,0,29,0,,
Bautura energizanta Burn,1,1,1,0,62,0.4,0,14.5,0,,
Bautura energizanta light Watt Energy,1,1,1,0,3,0.4,0,0,0.1,,
Bautura energizanta Mountain Dew,1,1,1,0,47.8,0,0,12.9,0,,
Bautura energizanta Red Bull Cola,1,1,1,0,38,0,0,8.8,0,,
Bautura energizanta Red Bull sugarfree,1,1,1,0,3,0,0,0,0,,
Bautura energizanta Vibe,1,1,1,0,40.4,0.1,0.1,9.7,0,,
Bautura inlocuitor cafea Orzo instant SanoVita,1,1,1,0,344,8,0,78,0,,
Bautura instant aromatizata cu continut de cafea solubila Typ Plus,1,1,1,0,396,4.5,8.5,75.6,2.2,,
Bautura instant dietetica 3 in 1 Sly Diet,1,1,1,0,362.7,10.7,0,53.2,11.9,,
Bautura instant pe baza de extract de cereale Inka,1,1,1,0,370,4.7,0,88.4,0,,
Bautura light de portocale Giusto Natura,1,1,1,0,8.7,0,0,1.9,0,,
Bautura light Ice Tea Lemon Ice Tea,1,1,1,0,1,0.1,0.1,0.1,0.1,,
Bautura naturala de coacaze Costa,1,1,1,0,19,0.1,0,4.7,0.2,,
Bautura pentru sportivi cu aroma de lamaie Gatorade,1,1,1,0,25,0,0,6,0,,
"Bautura racoritoare cactus, mere, lamai verzi Tymbark",1,1,1,0,47,0.1,0.1,11.4,0,,
Bautura racoritoare cocktail rosu Multi vitamine Tymbark,1,1,1,0,37,0.1,0,9.2,0,,
Bautura racoritoare cu Aloe Vera Tropical,1,1,1,0,38,0,0,9.6,0,,
Bautura racoritoare cu capsuni Tymbark Fontea,1,1,1,0,18,0,0,4.5,0,,
Bautura racoritoare cu lamaie light Jana,1,1,1,0,8,0,0,2,0,,
Bautura racoritoare cu lamaie Tymbark Fontea,1,1,1,0,8,0,0,4.5,0,,
Bautura racoritoare cu pulpa de aloe vera Paldo,1,1,1,0,44.4,0,0.1,9.5,0,,
Bautura racoritoare cu visine si mere Tymbark,1,1,1,0,49,0,0,12.1,0,,
