Batoane de peste Fish Fingers Frosta,,,,1,230,13.7,9.9,21.2,0.8
Batoane de calamar congelate Royal Greenland,0,1,1,1,172,12,7.5,14,0
Batoane de peste congelat Frosta,0,1,1,1,178,11.6,5.7,20,0
Batoane de peste congelat Mexican Frosta,0,1,1,1,204,11.9,10.6,15.8,0
Batoane de peste congelat Royal Arctic,0,1,1,1,219,8.3,9.9,24.1,0
Batoane de peste congelat Winny,0,1,1,1,230,8.5,8,31,0
Batoane de peste Iglo,0,1,1,1,197,13,8.1,18,0
Batoane de peste pane Vici,0,1,1,1,212,11,8,24,0
Batoane peste Fish Fingers Tiko,0,1,1,1,252,9.1,9.9,30.2,0
Batog din novac afumat Cora,0,1,1,1,122,17,5,0,0
Biban de apa dulce gatit,0,1,1,1,146,24.2,4.7,0,0
Biban de mare crud,0,1,1,1,97,18.4,2,0,0
Calamar,0,1,1,1,92,15.6,1.4,3.1,0
Calamar cu branza pane congelat Vici,0,1,1,1,191,12,9,15,0
Calamar inele pane congelate,0,1,1,1,228,8.8,7.9,29.8,1.8
Calcan,0,1,1,1,91,16,3,0,0
Cambula peste plat,0,1,1,1,91,18.8,1.2,0,0
Caracatita,0,1,1,1,82,14.9,1,2.2,0
Caracatita gatita,0,1,1,1,164,29.8,2.1,4.4,0
Caras gatit,0,1,1,1,102,20.7,2.1,0,0
Caviar,0,1,1,1,274,26,16,4.6,0
Chefal,0,1,1,1,117,19.4,3.8,0,0
Chiftele peste Lidl,0,1,1,1,135,10.1,0.9,21,0
Cocktail fructe de mare Cora,0,1,1,1,451,7.3,41.1,5,0
Cocktail fructe de mare La Caldera,0,1,1,1,73,13,1.6,1.7,0
Cocktail fructe de mare Royal Greenland,0,1,1,1,56,12.6,0.4,1.2,0
Coctail fructe de mare Vassiliou Trofinko Plus,0,1,1,1,122,20.5,2.4,14,0
Cod,0,1,1,1,107,24,1,0,0
Cod Alaska Alfredo Foods,0,1,1,1,81,17,1,0,0
Cod Del Mare,0,1,1,1,80,18.3,1,0,0
Conserva  file sardina in ulei picant Auchan,1,1,1,0,218,23,14,0,0.4
Conserva babusca in sos tomat,1,1,1,0,112,11.1,5.6,3.4,0
